    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -863.690774    -863.690762    -863.690803      25.727910      25.902000       7.949165       0.007530      -0.018198
  100.000    -863.690774    -863.688896    -863.699855      68.768821      68.767000      16.577165       1.178464      -5.698418
  200.000    -863.690774    -863.685478    -863.712013      83.254889      83.255000      26.090165       3.323293     -13.327685
  300.000    -863.690774    -863.680667    -863.726269      95.385703      95.386000      34.024165       6.342244     -22.273467
  400.000    -863.690774    -863.674716    -863.742339     106.085272     106.086000      40.406165      10.076556     -32.357553
  500.000    -863.690774    -863.667870    -863.760021     115.651348     115.651000      45.269165      14.372489     -43.453185
  600.000    -863.690774    -863.660355    -863.779148     124.239659     124.239000      48.858165      19.088227     -55.455569
  700.000    -863.690774    -863.652349    -863.799573     131.977903     131.978000      51.490165      24.112072     -68.272460
  800.000    -863.690774    -863.643980    -863.821173     138.987974     138.988000      53.440165      29.363703     -81.826676
  900.000    -863.690774    -863.635342    -863.843838     145.370361     145.370000      54.904165      34.784134     -96.049191
 1000.000    -863.690774    -863.626499    -863.867477     151.216105     151.216000      56.024165      40.333205    -110.882900
 1100.000    -863.690774    -863.617499    -863.892009     156.597973     156.598000      56.894165      45.980795    -126.276975
 1200.000    -863.690774    -863.608376    -863.917367     161.579119     161.579000      57.581165      51.705569    -142.189373
 1300.000    -863.690774    -863.599154    -863.943489     166.210505     166.210000      58.132165      57.492466    -158.581190
 1400.000    -863.690774    -863.589853    -863.970325     170.535703     170.535000      58.579165      63.328937    -175.421048
 1500.000    -863.690774    -863.580488    -863.997828     174.590016     174.590000      58.947165      69.205568    -192.679456
 1600.000    -863.690774    -863.571069    -864.025958     178.404623     178.404000      59.252165      75.116085    -210.331312
 1700.000    -863.690774    -863.561606    -864.054678     182.004477     182.004000      59.509165      81.054212    -228.353399
 1800.000    -863.690774    -863.552105    -864.083956     185.412123     185.412000      59.726165      87.016184    -246.725637
 1900.000    -863.690774    -863.542571    -864.113763     188.646680     188.646000      59.911165      92.998865    -265.429827
 2000.000    -863.690774    -863.533011    -864.144073     191.723758     191.724000      60.071165      98.997860    -284.449655
