    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -864.335610    -864.335597    -864.335641      27.610440      27.342000       7.949165       0.008158      -0.019453
  100.000    -864.335610    -864.333653    -864.345083      71.724393      71.721000      17.676165       1.228037      -5.944402
  200.000    -864.335610    -864.329878    -864.357823      87.678835      87.679000      29.164165       3.596887     -13.938880
  300.000    -864.335610    -864.324520    -864.372899     101.194354     101.195000      37.688165       6.959086     -23.399220
  400.000    -864.335610    -864.317970    -864.389984     112.973763     112.975000      44.231165      11.069276     -34.120229
  500.000    -864.335610    -864.310509    -864.408835     123.401097     123.401000      49.152165      15.751129     -45.949420
  600.000    -864.335610    -864.302373    -864.429255     132.699540     132.700000      52.779165      20.856550     -58.763174
  700.000    -864.335610    -864.293738    -864.451079     141.047216     141.047000      55.456165      26.275099     -72.457952
  800.000    -864.335610    -864.284733    -864.474167     148.589662     148.590000      57.464165      31.925826     -86.945903
  900.000    -864.335610    -864.275447    -864.498401     155.450961     155.451000      59.004165      37.752884    -102.152980
 1000.000    -864.335610    -864.265945    -864.523681     161.731917     161.732000      60.210165      43.715484    -118.016433
 1100.000    -864.335610    -864.256270    -864.549922     167.517788     167.518000      61.175165      49.786643    -134.482923
 1200.000    -864.335610    -864.246456    -864.577050     172.875867     172.875000      61.962165      55.945027    -151.506014
 1300.000    -864.335610    -864.236529    -864.605001     177.861434     177.862000      62.612165      62.174318    -169.045546
 1400.000    -864.335610    -864.226506    -864.633721     182.522489     182.522000      63.156165      68.463851    -187.067634
 1500.000    -864.335610    -864.216404    -864.663160     186.895905     186.896000      63.617165      74.802957    -205.540900
 1600.000    -864.335610    -864.206234    -864.693275     191.014436     191.014000      64.011165      81.184734    -224.438364
 1700.000    -864.335610    -864.196005    -864.724028     194.905713     194.905000      64.350165      87.603534    -243.736179
 1800.000    -864.335610    -864.185726    -864.755384     198.592273     198.592000      64.644165      94.053709    -263.412383
 1900.000    -864.335610    -864.175404    -864.787313     202.094219     202.094000      64.900165     100.530867    -283.448150
 2000.000    -864.335610    -864.165043    -864.819787     205.429204     205.429000      65.125165     107.032498    -303.825909
