    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1776.780548   -1776.780535   -1776.780588      33.258030      32.884000       7.949165       0.008158      -0.025100
  100.000   -1776.780548   -1776.776974   -1776.792711      98.751249      98.755000      34.765165       2.242721      -7.632404
  200.000   -1776.780548   -1776.769652   -1776.811005     129.747105     129.748000      56.163165       6.837349     -19.112072
  300.000   -1776.780548   -1776.759340   -1776.833805     155.758440     155.760000      72.590165      13.308232     -33.419300
  400.000   -1776.780548   -1776.746705   -1776.860475     178.479532     178.480000      85.419165      21.236821     -50.154992
  500.000   -1776.780548   -1776.732283   -1776.890555     198.634525     198.634000      95.086165      30.286770     -69.030493
  600.000   -1776.780548   -1776.716536   -1776.923669     216.630048     216.631000     102.179165      40.168170     -89.809859
  700.000   -1776.780548   -1776.699818   -1776.959502     232.791867     232.792000     107.367165      50.658882    -112.295425
  800.000   -1776.780548   -1776.682387   -1776.997782     247.391896     247.391000     111.199165      61.597009    -136.316507
  900.000   -1776.780548   -1776.664427   -1777.038280     260.662773     260.663000     114.074165      72.867089    -161.729407
 1000.000   -1776.780548   -1776.646065   -1777.080800     272.800560     272.800000     116.270165      84.389427    -188.411133
 1100.000   -1776.780548   -1776.627395   -1777.125175     283.965389     283.965000     117.975165      96.105039    -216.256889
 1200.000   -1776.780548   -1776.608483   -1777.171261     294.290686     294.290000     119.320165     107.972508    -245.176315
 1300.000   -1776.780548   -1776.589380   -1777.218933     303.885233     303.885000     120.398165     119.959832    -275.090971
 1400.000   -1776.780548   -1776.570121   -1777.268082     312.841077     312.841000     121.273165     132.045047    -305.932460
 1500.000   -1776.780548   -1776.550736   -1777.318612     321.233246     321.233000     121.992165     144.209328    -337.640541
 1600.000   -1776.780548   -1776.531246   -1777.370439     329.126250     329.126000     122.589165     156.439498    -370.162501
 1700.000   -1776.780548   -1776.511669   -1777.423487     336.573478     336.573000     123.091165     168.724261    -403.450652
 1800.000   -1776.780548   -1776.492018   -1777.477690     343.621687     343.621000     123.515165     181.055460    -437.463576
 1900.000   -1776.780548   -1776.472305   -1777.532987     350.309769     350.309000     123.878165     193.425565    -472.162997
 2000.000   -1776.780548   -1776.452539   -1777.589324     356.671978     356.672000     124.189165     205.828928    -507.515028
