    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1601.779262   -1601.779249   -1601.779296      29.492970      29.391000       7.949204       0.008158      -0.021335
  100.000   -1601.779262   -1601.776531   -1601.789905      83.923187      83.923000      25.182204       1.713730      -6.678589
  200.000   -1601.779262   -1601.771434   -1601.805084     105.578558     105.578000      38.048204       4.912148     -16.203563
  300.000   -1601.779262   -1601.764587   -1601.823329     122.870641     122.871000      47.464204       9.208709     -27.652483
  400.000   -1601.779262   -1601.756419   -1601.844109     137.565880     137.566000      54.725204      14.334211     -40.692141
  500.000   -1601.779262   -1601.747238   -1601.867076     150.399087     150.399000      60.239204      20.095380     -55.104163
  600.000   -1601.779262   -1601.737295   -1601.891967     161.763711     161.763000      64.344204      26.334712     -70.723515
  700.000   -1601.779262   -1601.726786   -1601.918569     171.922500     171.922000      67.389204      32.929215     -87.416536
  800.000   -1601.779262   -1601.715857   -1601.946708     181.076639     181.077000      69.668204      39.787272    -105.074039
  900.000   -1601.779262   -1601.704611   -1601.976237     189.386701     189.387000      71.394204      46.844249    -123.603782
 1000.000   -1601.779262   -1601.693123   -1602.007032     196.981037     196.981000      72.724204      54.053084    -142.927953
 1100.000   -1601.779262   -1601.681448   -1602.038987     203.962998     203.963000      73.763204      61.379263    -162.980035
 1200.000   -1601.779262   -1601.669625   -1602.072011     210.417699     210.418000      74.588204      68.798314    -183.702925
 1300.000   -1601.779262   -1601.657684   -1602.106027     216.415166     216.415000      75.251204      76.291411    -205.048305
 1400.000   -1601.779262   -1601.645647   -1602.140966     222.012590     222.012000      75.791204      83.844749    -226.972877
 1500.000   -1601.779262   -1601.633532   -1602.176768     227.257348     227.257000      76.237204      91.447032    -249.438990
 1600.000   -1601.779262   -1601.621353   -1602.213380     232.189289     232.189000      76.608204      99.089477    -272.413386
 1700.000   -1601.779262   -1601.609119   -1602.250756     236.843314     236.843000      76.920204     106.766434    -295.867200
 1800.000   -1601.779262   -1601.596839   -1602.288854     241.247963     241.248000      77.184204     114.472257    -319.774076
 1900.000   -1601.779262   -1601.584521   -1602.327635     245.427087     245.427000      77.410204     122.201925    -344.109541
 2000.000   -1601.779262   -1601.572169   -1602.367066     249.402908     249.403000      77.605204     129.952928    -368.852888
