    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1164.122151   -1164.122139   -1164.122184      28.237950      28.666000       7.949204       0.007530      -0.020708
  100.000   -1164.122151   -1164.119534   -1164.132453      81.068017      81.066000      24.460204       1.642194      -6.464608
  200.000   -1164.122151   -1164.114523   -1164.147139     102.334331     102.336000      37.662204       4.786646     -15.680220
  300.000   -1164.122151   -1164.107724   -1164.164856     119.503004     119.504000      47.221204       9.053087     -26.797815
  400.000   -1164.122151   -1164.099589   -1164.185094     134.138106     134.139000      54.551204      14.157881     -39.497362
  500.000   -1164.122151   -1164.090431   -1164.207512     146.938997     146.938000      60.108204      19.904617     -53.564881
  600.000   -1164.122151   -1164.080507   -1164.231849     158.281031     158.281000      64.242204      26.132026     -68.836592
  700.000   -1164.122151   -1164.070013   -1164.257896     168.426373     168.426000      67.309204      32.717116     -85.181345
  800.000   -1164.122151   -1164.059095   -1164.285477     177.571211     177.571000      69.602204      39.568271    -102.488698
  900.000   -1164.122151   -1164.047858   -1164.314447     185.874737     185.874000      71.341204      46.619600    -120.667663
 1000.000   -1164.122151   -1164.036378   -1164.344681     193.463216     193.463000      72.679204      53.823415    -139.639800
 1100.000   -1164.122151   -1164.024709   -1164.376075     200.441526     200.441000      73.725204      61.145829    -159.339849
 1200.000   -1164.122151   -1164.012892   -1164.408538     206.893185     206.893000      74.556204      68.561115    -179.710706
 1300.000   -1164.122151   -1164.000955   -1164.441991     212.888077     212.888000      75.223204      76.051702    -200.702798
 1400.000   -1164.122151   -1163.988923   -1164.476368     218.483294     218.483000      75.767204      83.601902    -222.274710
 1500.000   -1164.122151   -1163.976812   -1164.511608     223.726559     223.726000      76.216204      91.201676    -244.388162
 1600.000   -1164.122151   -1163.964635   -1164.547658     228.657977     228.657000      76.589204      98.842865    -267.009898
 1700.000   -1164.122151   -1163.952404   -1164.584471     233.310802     233.310000      76.903204     106.517940    -290.110423
 1800.000   -1164.122151   -1163.940127   -1164.622005     237.714035     237.714000      77.169204     114.221880    -313.663384
 1900.000   -1164.122151   -1163.927811   -1164.660223     241.892555     241.892000      77.397204     121.950293    -337.645561
 2000.000   -1164.122151   -1163.915461   -1164.699090     245.867517     245.867000      77.593204     129.700042    -362.034992
