    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1676.847609   -1676.847596   -1676.847650      33.885540      33.863000       7.949165       0.008158      -0.025728
  100.000   -1676.847609   -1676.844112   -1676.859561      96.944020      96.944000      34.555165       2.194402      -7.500000
  200.000   -1676.847609   -1676.836905   -1676.877535     127.478657     127.478000      54.867165       6.716867     -18.778864
  300.000   -1676.847609   -1676.826904   -1676.899915     152.717109     152.719000      69.973165      12.992595     -32.822538
  400.000   -1676.847609   -1676.814788   -1676.926028     174.510531     174.510000      81.555165      20.595506     -49.208707
  500.000   -1676.847609   -1676.801064   -1676.955397     193.691002     193.691000      90.242165      29.207453     -67.638048
  600.000   -1676.847609   -1676.786149   -1676.987648     210.737729     210.738000      96.619165      38.566765     -87.875873
  700.000   -1676.847609   -1676.770360   -1677.022469     226.001312     226.001000     101.290165      48.474520    -109.726399
  800.000   -1676.847609   -1676.753930   -1677.059600     239.763727     239.763000     104.746165      58.784509    -133.026472
  900.000   -1676.847609   -1676.737021   -1677.098819     252.257626     252.258000     107.343165      69.395076    -157.636787
 1000.000   -1676.847609   -1676.719750   -1677.139942     263.674682     263.675000     109.329165      80.232801    -183.441881
 1100.000   -1676.847609   -1676.702199   -1677.182809     274.170528     274.170000     110.872165      91.246229    -210.341352
 1200.000   -1676.847609   -1676.684429   -1677.227284     283.872451     283.872000     112.091165     102.397082    -238.249859
 1300.000   -1676.847609   -1676.666486   -1677.273248     292.884017     292.884000     113.069165     113.656494    -267.092729
 1400.000   -1676.847609   -1676.648402   -1677.320600     301.293548     301.293000     113.862165     125.004385    -296.806582
 1500.000   -1676.847609   -1676.630203   -1677.369248     309.172085     309.172000     114.515165     136.424439    -327.333689
 1600.000   -1676.847609   -1676.611909   -1677.419114     316.580756     316.580000     115.057165     147.904107    -358.625103
 1700.000   -1676.847609   -1676.593537   -1677.470127     323.569995     323.570000     115.512165     159.432721    -390.636270
 1800.000   -1676.847609   -1676.575097   -1677.522222     330.183560     330.183000     115.898165     171.004005    -423.326404
 1900.000   -1676.847609   -1676.556600   -1677.575345     336.459303     336.459000     116.227165     182.611058    -456.661617
 2000.000   -1676.847609   -1676.538055   -1677.629442     342.428128     342.428000     116.511165     194.248231    -490.608026
