    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1201.942509   -1201.942497   -1201.942543      28.865460      28.922000       7.949165       0.007530      -0.021335
  100.000   -1201.942509   -1201.940011   -1201.952588      78.921933      78.926000      24.634165       1.567520      -6.324673
  200.000   -1201.942509   -1201.934774   -1201.966991     101.082448     101.083000      40.145165       4.853790     -15.362700
  300.000   -1201.942509   -1201.927441   -1201.984613     119.586672     119.587000      51.398165       9.455321     -26.420681
  400.000   -1201.942509   -1201.918522   -1202.004976     135.626874     135.628000      60.163165      15.052082     -39.198667
  500.000   -1201.942509   -1201.908377   -1202.027742     149.805462     149.805000      66.829165      21.418171     -53.484560
  600.000   -1201.942509   -1201.897314   -1202.052641     162.448743     162.449000      71.773165      28.360314     -69.108931
  700.000   -1201.942509   -1201.885570   -1202.079449     173.801445     173.801000      75.431165      35.729792     -85.931219
  800.000   -1201.942509   -1201.873320   -1202.107977     184.062018     184.061000      78.174165      43.416789    -103.832825
  900.000   -1201.942509   -1201.860688   -1202.138064     193.395793     193.395000      80.269165      51.343496    -122.712718
 1000.000   -1201.942509   -1201.847761   -1202.169574     201.940876     201.940000      81.904165      59.455317    -142.485558
 1100.000   -1201.942509   -1201.834602   -1202.202391     209.810250     209.810000      83.203165      67.712722    -163.078554
 1200.000   -1201.942509   -1201.821256   -1202.236414     217.096497     217.096000      84.254165      76.087470    -184.428327
 1300.000   -1201.942509   -1201.807758   -1202.271557     223.875777     223.875000      85.116165      84.557600    -206.480910
 1400.000   -1201.942509   -1201.794135   -1202.307744     230.210560     230.210000      85.834165      93.106169    -229.188615
 1500.000   -1201.942509   -1201.780407   -1202.344908     236.153348     236.153000      86.437165     101.720626    -252.509396
 1600.000   -1201.942509   -1201.766591   -1202.382992     241.748620     241.748000      86.949165     110.390304    -276.407487
 1700.000   -1201.942509   -1201.752699   -1202.421942     247.033338     247.033000      87.387165     119.107673    -300.849002
 1800.000   -1201.942509   -1201.738742   -1202.461712     252.039392     252.039000      87.765165     127.865830    -325.805075
 1900.000   -1201.942509   -1201.724729   -1202.502259     256.793605     256.793000      88.094165     136.659128    -351.248723
 2000.000   -1201.942509   -1201.710667   -1202.543545     261.319637     261.319000      88.380165     145.483173    -377.156100
