    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1201.871448   -1201.871436   -1201.871482      28.865460      29.155000       7.949165       0.007530      -0.021335
  100.000   -1201.871448   -1201.868457   -1201.882015      85.077806      85.078000      29.304165       1.876882      -6.630898
  200.000   -1201.871448   -1201.862512   -1201.897678     110.335083     110.335000      44.314165       5.607429     -16.459587
  300.000   -1201.871448   -1201.854571   -1201.916911     130.396578     130.395000      54.787165      10.590486     -28.528487
  400.000   -1201.871448   -1201.845193   -1201.939070     147.271891     147.273000      62.539165      16.475275     -42.433481
  500.000   -1201.871448   -1201.834746   -1201.963730     161.877500     161.877000      68.276165      23.030872     -57.907878
  600.000   -1201.871448   -1201.823513   -1201.990570     174.716563     174.717000      72.484165      30.079692     -74.750246
  700.000   -1201.871448   -1201.811702   -1202.019340     186.135602     186.135000      75.589165      37.491212     -92.803709
  800.000   -1201.871448   -1201.799462   -1202.049834     196.388667     196.388000      77.917165      45.171935    -111.938999
  900.000   -1201.871448   -1201.786897   -1202.081882     205.673375     205.673000      79.701165      53.056598    -132.049439
 1000.000   -1201.871448   -1201.774080   -1202.115343     214.145945     214.145000      81.097165      61.099394    -153.046551
 1100.000   -1201.871448   -1201.761065   -1202.150097     221.928609     221.929000      82.211165      69.266436    -174.855034
 1200.000   -1201.871448   -1201.747889   -1202.186044     229.122203     229.122000      83.116165      77.534508    -197.412136
 1300.000   -1201.871448   -1201.734582   -1202.223096     235.805708     235.805000      83.862165      85.884784    -220.662636
 1400.000   -1201.871448   -1201.721167   -1202.261177     242.044054     242.044000      84.485165      94.302830    -244.558845
 1500.000   -1201.871448   -1201.707660   -1202.300220     247.891550     247.891000      85.010165     102.778608    -269.058718
 1600.000   -1201.871448   -1201.694076   -1202.340166     253.392460     253.392000      85.458165     111.302704    -294.125232
 1700.000   -1201.871448   -1201.680426   -1202.380965     258.585428     258.585000      85.842165     119.868215    -319.727013
 1800.000   -1201.871448   -1201.666719   -1202.422568     263.501559     263.501000      86.174165     128.469495    -345.833311
 1900.000   -1201.871448   -1201.652963   -1202.464935     268.168710     268.168000      86.464165     137.101522    -372.419027
 2000.000   -1201.871448   -1201.639164   -1202.508027     272.610111     272.610000      86.717165     145.760533    -399.459688
