    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1126.827995   -1126.827983   -1126.828028      28.237950      28.233000       7.949165       0.007530      -0.020708
  100.000   -1126.827995   -1126.825676   -1126.837828      76.255015      76.253000      22.456165       1.455196      -6.170306
  200.000   -1126.827995   -1126.820876   -1126.851648      96.548689      96.549000      37.003165       4.467244     -14.842494
  300.000   -1126.827995   -1126.814087   -1126.868433     113.675528     113.675000      47.720165       8.727409     -25.375249
  400.000   -1126.827995   -1126.805793   -1126.887762     128.590918     128.591000      56.011165      13.931977     -37.504390
  500.000   -1126.827995   -1126.796343   -1126.909327     141.797180     141.798000      62.287165      19.861947     -51.036643
  600.000   -1126.827995   -1126.786028   -1126.932881     153.586210     153.586000      66.930165      26.334712     -65.817014
  700.000   -1126.827995   -1126.775075   -1126.958214     164.173648     164.174000      70.361165      33.207829     -81.713725
  800.000   -1126.827995   -1126.763648   -1126.985152     173.744969     173.745000      72.932165      40.378386     -98.617589
  900.000   -1126.827995   -1126.751862   -1127.013545     182.454110     182.454000      74.897165      47.774219    -116.434480
 1000.000   -1126.827995   -1126.739799   -1127.043265     190.427950     190.428000      76.431165      55.343872    -135.084078
 1100.000   -1126.827995   -1126.727518   -1127.074205     197.772327     197.772000      77.651165      63.050322    -154.499237
 1200.000   -1126.827995   -1126.715063   -1127.106270     204.571920     204.572000      78.639165      70.865959    -174.620345
 1300.000   -1126.827995   -1126.702464   -1127.139381     210.899836     210.900000      79.451165      78.771958    -195.397829
 1400.000   -1126.827995   -1126.689747   -1127.173466     216.813221     216.813000      80.128165      86.752002    -216.786507
 1500.000   -1126.827995   -1126.676931   -1127.208464     222.361515     222.361000      80.698165      94.794171    -238.748102
 1600.000   -1126.827995   -1126.664031   -1127.244320     227.585719     227.585000      81.183165     102.889050    -261.248101
 1700.000   -1126.827995   -1126.651060   -1127.280985     232.520139     232.520000      81.598165     111.028482    -284.255755
 1800.000   -1126.827995   -1126.638027   -1127.318415     237.194597     237.194000      81.957165     119.206820    -307.743454
 1900.000   -1126.827995   -1126.624941   -1127.356571     241.634285     241.634000      82.269165     127.418416    -331.686726
 2000.000   -1126.827995   -1126.611808   -1127.395417     245.861242     245.861000      82.542165     135.659504    -356.062979
