    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -384.963509    -384.963496    -384.963534      23.845380      23.670000       7.949165       0.008158      -0.015688
  100.000    -384.963509    -384.961060    -384.973211      76.248740      76.247000      20.083165       1.536772      -6.088102
  200.000    -384.963509    -384.957312    -384.986721      92.272208      92.274000      27.096165       3.888679     -14.565762
  300.000    -384.963509    -384.952363    -385.002444     104.754428     104.756000      35.184165       6.994226     -24.432102
  400.000    -384.963509    -384.946079    -385.020048     116.040718     116.041000      43.624165      10.937499     -35.478788
  500.000    -384.963509    -384.938500    -385.039392     126.621478     126.622000      51.318165      15.693398     -47.617341
  600.000    -384.963509    -384.929782    -385.060372     136.577551     136.577000      57.910165      21.164030     -60.782501
  700.000    -384.963509    -384.920097    -385.082891     145.935518     145.935000      63.488165      27.241464     -74.913399
  800.000    -384.963509    -384.909591    -385.106855     154.731416     154.731000      68.234165      33.834084     -89.951048
  900.000    -384.963509    -384.898385    -385.132179     163.008970     163.008000      72.298165      40.865961    -105.842112
 1000.000    -384.963509    -384.886578    -385.158784     170.811987     170.811000      75.796165      48.274972    -122.537015
 1100.000    -384.963509    -384.874253    -385.186597     178.180894     178.181000      78.816165      56.009033    -139.989951
 1200.000    -384.963509    -384.861480    -385.215552     185.153101     185.153000      81.429165      64.024218    -158.159503
 1300.000    -384.963509    -384.848318    -385.245590     191.763194     191.763000      83.694165      72.283504    -177.008648
 1400.000    -384.963509    -384.834820    -385.276653     198.039018     198.039000      85.663165      80.753634    -196.500991
 1500.000    -384.963509    -384.821029    -385.308692     204.008939     204.009000      87.378165      89.407625    -216.605784
 1600.000    -384.963509    -384.806983    -385.341660     209.696978     209.697000      88.876165      98.221630    -237.293534
 1700.000    -384.963509    -384.792712    -385.375513     215.125562     215.125000      90.190165     107.176825    -258.536630
 1800.000    -384.963509    -384.778246    -385.410212     220.313880     220.314000      91.344165     116.254385    -280.310600
 1900.000    -384.963509    -384.763606    -385.445720     225.280714     225.280000      92.362165     125.441132    -302.592225
 2000.000    -384.963509    -384.748814    -385.482003     230.041715     230.041000      93.264165     134.723259    -325.360170
