    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1938.153800   -1938.153787   -1938.153842      34.513050      34.485000       7.949165       0.008158      -0.026355
  100.000   -1938.153800   -1938.148595   -1938.167462     118.392312     118.391000      52.338165       3.266190      -8.573042
  200.000   -1938.153800   -1938.137934   -1938.190092     163.648333     163.649000      80.404165       9.956074     -22.773593
  300.000   -1938.153800   -1938.123182   -1938.219207     200.855493     200.856000     104.265165      19.213101     -41.043547
  400.000   -1938.153800   -1938.104861   -1938.253886     233.786694     233.786000     125.086165      30.709712     -62.804966
  500.000   -1938.153800   -1938.083513   -1938.293555     263.606911     263.607000     142.200165      44.105795     -87.697660
  600.000   -1938.153800   -1938.059726   -1938.337762     290.783951     290.783000     155.799165      59.032376    -115.437995
  700.000   -1938.153800   -1938.034006   -1938.386111     315.642012     315.641000     166.586165      75.171933    -145.777476
  800.000   -1938.153800   -1938.006745   -1938.438256     338.471835     338.472000     175.249165      92.278483    -178.498985
  900.000   -1938.153800   -1937.978236   -1938.493895     359.534643     359.534000     182.312165     110.168166    -213.413013
 1000.000   -1938.153800   -1937.948703   -1938.552765     379.054946     379.054000     188.146165     128.700418    -250.354527
 1100.000   -1938.153800   -1937.918321   -1938.614635     397.221816     397.222000     193.015165     147.765427    -289.178571
 1200.000   -1938.153800   -1937.887226   -1938.679304     414.197388     414.197000     197.115165     167.277851    -329.759015
 1300.000   -1938.153800   -1937.855529   -1938.746592     430.116110     430.116000     200.593165     187.168035    -371.982908
 1400.000   -1938.153800   -1937.823320   -1938.816341     445.093291     445.093000     203.561165     207.379505    -415.751103
 1500.000   -1938.153800   -1937.790672   -1938.888407     459.226460     459.226000     206.109165     227.866451    -460.973239
 1600.000   -1938.153800   -1937.757647   -1938.962665     472.600528     472.600000     208.309165     248.589969    -507.570876
 1700.000   -1938.153800   -1937.724295   -1939.038998     485.287811     485.287000     210.217165     269.518683    -555.470597
 1800.000   -1938.153800   -1937.690660   -1939.117303     497.351527     497.351000     211.881165     290.624981    -604.607768
 1900.000   -1938.153800   -1937.656776   -1939.197484     508.847198     508.847000     213.338165     311.887530    -654.922147
 2000.000   -1938.153800   -1937.622674   -1939.279455     519.823323     519.823000     214.621165     333.286876    -706.359769
