    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -384.964691    -384.964678    -384.964715      23.217870      23.291000       7.949165       0.008158      -0.015060
  100.000    -384.964691    -384.962489    -384.973812      71.052957      71.056000      18.702165       1.381777      -5.723519
  200.000    -384.964691    -384.958880    -384.986431      86.442640      86.440000      26.577165       3.646461     -13.642067
  300.000    -384.964691    -384.953986    -385.001210      98.778441      98.778000      34.963165       6.717495     -22.916038
  400.000    -384.964691    -384.947727    -385.017857     110.018191     110.018000      43.523165      10.645080     -33.362197
  500.000    -384.964691    -384.940159    -385.036239     120.582322     120.582000      51.269165      15.394075     -44.897085
  600.000    -384.964691    -384.931447    -385.056256     130.531493     130.531000      57.886165      20.860942     -57.457953
  700.000    -384.964691    -384.921765    -385.077811     139.886322     139.886000      63.475165      26.936494     -70.983931
  800.000    -384.964691    -384.911261    -385.100811     148.680651     148.681000      68.225165      33.527859     -85.416661
  900.000    -384.964691    -384.900056    -385.125171     156.957682     156.957000      72.291165      40.559109    -100.702805
 1000.000    -384.964691    -384.888250    -385.150811     164.759653     164.759000      75.789165      47.967492    -116.792161
 1100.000    -384.964691    -384.875926    -385.177660     172.128275     172.128000      78.809165      55.700925    -133.640177
 1200.000    -384.964691    -384.863154    -385.205651     179.100244     179.100000      81.422165      63.715483    -151.204810
 1300.000    -384.964691    -384.849993    -385.234724     185.709654     185.709000      83.688165      71.974142    -169.448408
 1400.000    -384.964691    -384.836496    -385.264822     191.984892     191.985000      85.656165      80.443644    -188.335204
 1500.000    -384.964691    -384.822706    -385.295897     197.954723     197.954000      87.372165      89.097007    -207.835077
 1600.000    -384.964691    -384.808661    -385.327900     203.642291     203.642000      88.870165      97.910385    -227.917280
 1700.000    -384.964691    -384.794392    -385.360788     209.070091     209.070000      90.183165     106.864325    -248.554828
 1800.000    -384.964691    -384.779926    -385.394522     214.258409     214.258000      91.338165     115.941885    -269.723251
 1900.000    -384.964691    -384.765287    -385.429064     219.224582     219.224000      92.356165     125.128004    -291.398701
 2000.000    -384.964691    -384.750496    -385.464382     223.985302     223.985000      93.258165     134.409504    -313.561099
