    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -384.969480    -384.969467    -384.969504      23.217870      23.294000       7.949165       0.008158      -0.015060
  100.000    -384.969480    -384.967274    -384.978562      70.833329      70.833000      18.794165       1.384287      -5.699046
  200.000    -384.969480    -384.963657    -384.991148      86.254387      86.255000      26.600165       3.653991     -13.596887
  300.000    -384.969480    -384.958761    -385.005899      98.598555      98.599000      34.976165       6.726280     -22.853287
  400.000    -384.969480    -384.952499    -385.022518     109.844057     109.844000      43.546165      10.655747     -33.281875
  500.000    -384.969480    -384.944926    -385.040873     120.415404     120.415000      51.304165      15.407881     -44.799821
  600.000    -384.969480    -384.936208    -385.060864     130.371478     130.371000      57.925165      20.878513     -57.344374
  700.000    -384.969480    -384.926519    -385.082394     139.733030     139.732000      63.515165      26.958457     -70.854664
  800.000    -384.969480    -384.916009    -385.105370     148.532401     148.532000      68.262165      33.553587     -85.272334
  900.000    -384.969480    -384.904799    -385.129706     156.812657     156.813000      72.325165      40.587974    -100.543417
 1000.000    -384.969480    -384.892988    -385.155324     164.618463     164.618000      75.820165      47.999495    -116.618968
 1100.000    -384.969480    -384.880659    -385.182150     171.989652     171.990000      78.836165      55.736066    -133.452552
 1200.000    -384.969480    -384.867882    -385.210119     178.964283     178.964000      81.446165      63.753761    -151.003379
 1300.000    -384.969480    -384.854719    -385.239171     185.574980     185.575000      83.709165      72.013675    -169.233799
 1400.000    -384.969480    -384.841218    -385.269248     191.852218     191.852000      85.675165      80.485688    -188.107418
 1500.000    -384.969480    -384.827426    -385.300301     197.822527     197.823000      87.388165      89.140306    -207.593486
 1600.000    -384.969480    -384.813377    -385.332283     203.511690     203.511000      88.885165      97.956194    -227.662511
 1700.000    -384.969480    -384.799106    -385.365151     208.940528     208.940000      90.197165     106.911389    -248.287509
 1800.000    -384.969480    -384.784638    -385.398864     214.129421     214.129000      91.350165     115.990203    -269.442754
 1900.000    -384.969480    -384.769998    -385.433386     219.096107     219.096000      92.367165     125.176950    -291.105654
 2000.000    -384.969480    -384.755205    -385.468683     223.857290     223.857000      93.268165     134.459705    -313.254875
