    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -789.110644    -789.110632    -789.110674      26.355420      26.822000       7.949165       0.007530      -0.018825
  100.000    -789.110644    -789.108543    -789.120183      73.042164      73.041000      17.741165       1.318399      -5.985818
  200.000    -789.110644    -789.105098    -789.133056      87.719623      87.719000      25.435165       3.480170     -14.063754
  300.000    -789.110644    -789.100472    -789.147990      99.393401      99.391000      32.473165       6.383032     -23.434988
  400.000    -789.110644    -789.094803    -789.164657     109.585209     109.584000      38.470165       9.940386     -33.893698
  500.000    -789.110644    -789.088279    -789.182859     118.699792     118.700000      43.198165      14.034261     -45.315635
  600.000    -789.110644    -789.081096    -789.202440     126.907622     126.908000      46.779165      18.541665     -57.602908
  700.000    -789.110644    -789.073417    -789.223266     134.331066     134.331000      49.475165      23.360315     -70.671431
  800.000    -789.110644    -789.065362    -789.245219     141.077583     141.077000      51.528165      28.414908     -84.447158
  900.000    -789.110644    -789.057018    -789.268199     147.242433     147.242000      53.117165      33.650851     -98.867338
 1000.000    -789.110644    -789.048450    -789.292121     152.905989     152.906000      54.369165      39.027357    -113.878632
 1100.000    -789.110644    -789.039703    -789.316910     158.136513     158.137000      55.371165      44.516187    -129.433978
 1200.000    -789.110644    -789.030812    -789.342502     162.990493     162.991000      56.185165      50.095378    -145.493214
 1300.000    -789.110644    -789.021803    -789.368841     167.515243     167.515000      56.854165      55.748616    -162.021199
 1400.000    -789.110644    -789.012697    -789.395877     171.749487     171.749000      57.410165      61.462722    -178.986560
 1500.000    -789.110644    -789.003510    -789.423568     175.727064     175.727000      57.876165      67.227656    -196.362939
 1600.000    -789.110644    -788.994255    -789.451873     179.474919     179.475000      58.271165      73.035261    -214.124610
 1700.000    -789.110644    -788.984941    -789.480759     183.018090     183.018000      58.608165      78.879890    -232.250864
 1800.000    -789.110644    -788.975578    -789.510195     186.376396     186.376000      58.897165      84.755266    -250.722248
 1900.000    -789.110644    -788.966171    -789.540152     189.567799     189.568000      59.148165      90.658252    -269.520565
 2000.000    -789.110644    -788.956728    -789.570606     192.607292     192.607000      59.366165      96.583829    -288.630755
