    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -575.361008    -575.360995    -575.361033      23.845380      23.612000       7.949165       0.008158      -0.015688
  100.000    -575.361008    -575.359437    -575.369534      63.359685      63.356000      12.288165       0.985818      -5.350150
  200.000    -575.361008    -575.357048    -575.380485      73.534759      73.533000      17.642165       2.484940     -12.222012
  300.000    -575.361008    -575.353860    -575.392863      81.582575      81.583000      22.210165       4.485441     -19.989331
  400.000    -575.361008    -575.350020    -575.406427      88.489891      88.489000      25.817165       6.895080     -28.500877
  500.000    -575.361008    -575.345678    -575.421022      94.558227      94.559000      28.548165       9.619728     -37.659385
  600.000    -575.361008    -575.340960    -575.436529      99.950839      99.951000      30.562165      12.580320     -47.390183
  700.000    -575.361008    -575.335965    -575.452849     104.779827     104.779000      32.042165      15.714733     -57.631146
  800.000    -575.361008    -575.330767    -575.469899     109.133402     109.133000      33.139165      18.976530     -68.330191
  900.000    -575.361008    -575.325418    -575.487610     113.085669     113.086000      33.965165      22.333081     -79.444021
 1000.000    -575.361008    -575.319952    -575.505924     116.699290     116.699000      34.596165      25.763051     -90.936239
 1100.000    -575.361008    -575.314398    -575.524789     120.020415     120.020000      35.088165      29.248241    -102.774215
 1200.000    -575.361008    -575.308775    -575.544163     123.090270     123.090000      35.477165      32.776730    -114.931594
 1300.000    -575.361008    -575.303095    -575.564009     125.943188     125.943000      35.788165      36.340987    -127.385158
 1400.000    -575.361008    -575.297371    -575.584293     128.604589     128.605000      36.041165      39.932854    -140.113570
 1500.000    -575.361008    -575.291610    -575.604989     131.098971     131.099000      36.250165      43.547939    -153.100517
 1600.000    -575.361008    -575.285819    -575.626069     133.443923     133.444000      36.423165      47.181849    -166.328428
 1700.000    -575.361008    -575.280003    -575.647513     135.656588     135.656000      36.568165      50.831448    -179.784753
 1800.000    -575.361008    -575.274166    -575.669300     137.750298     137.750000      36.691165      54.494223    -193.456313
 1900.000    -575.361008    -575.268310    -575.691411     139.736899     139.737000      36.796165      58.168922    -207.331187
 2000.000    -575.361008    -575.262439    -575.713831     141.626497     141.627000      36.887165      61.853033    -221.399961
