    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -237.701641    -237.701628    -237.701649      13.177710      13.165000       7.949165       0.008158      -0.005020
  100.000    -237.701641    -237.700374    -237.708306      49.774093      49.772000       7.959165       0.795055      -4.182354
  200.000    -237.701641    -237.699082    -237.716731      55.374620      55.377000       8.373165       1.605798      -9.469126
  300.000    -237.701641    -237.697678    -237.725854      58.935739      58.935000       9.278165       2.486822     -15.193900
  400.000    -237.701641    -237.696121    -237.735476      61.739140      61.739000      10.246165       3.463855     -21.231801
  500.000    -237.701641    -237.694422    -237.745509      64.115207      64.116000      11.054165       4.529995     -27.527609
  600.000    -237.701641    -237.692609    -237.755895      66.187663      66.188000      11.671165       5.667670     -34.044928
  700.000    -237.701641    -237.690710    -237.766592      68.023877      68.024000      12.130165       6.859312     -40.757402
  800.000    -237.701641    -237.688749    -237.777566      69.666945      69.667000      12.472165       8.089859     -47.643697
  900.000    -237.701641    -237.686740    -237.788788      71.151267      71.151000      12.729165       9.350527     -54.685614
 1000.000    -237.701641    -237.684695    -237.800236      72.503133      72.503000      12.926165      10.633784     -61.869348
 1100.000    -237.701641    -237.682622    -237.811890      73.742693      73.743000      13.080165      11.934613     -69.182350
 1200.000    -237.701641    -237.680528    -237.823734      74.885998      74.886000      13.201165      13.248619     -76.614578
 1300.000    -237.701641    -237.678416    -237.835754      75.947053      75.947000      13.298165      14.573920     -84.157249
 1400.000    -237.701641    -237.676290    -237.847936      76.935415      76.935000      13.377165      15.908006     -91.801575
 1500.000    -237.701641    -237.674153    -237.860271      77.860604      77.861000      13.442165      17.248995     -99.541911
 1600.000    -237.701641    -237.672006    -237.872749      78.730150      78.730000      13.496165      18.596259    -107.371981
 1700.000    -237.701641    -237.669852    -237.885361      79.549443      79.549000      13.541165      19.947915    -115.286137
 1800.000    -237.701641    -237.667691    -237.898101      80.324766      80.325000      13.579165      21.303965    -123.280615
 1900.000    -237.701641    -237.665524    -237.910960      81.059760      81.060000      13.612165      22.663779    -131.349766
 2000.000    -237.701641    -237.663353    -237.923934      81.758592      81.759000      13.640165      24.026103    -139.491080
