    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -764.565824    -764.565811    -764.565852      25.727910      25.724000       7.949165       0.008158      -0.017570
  100.000    -764.565824    -764.563733    -764.575224      72.107174      72.103000      17.322165       1.312123      -5.898594
  200.000    -764.565824    -764.560369    -764.587918      86.436365      86.437000      24.853165       3.423067     -13.864206
  300.000    -764.565824    -764.555851    -764.602625      97.837176      97.838000      31.701165       6.258157     -23.092996
  400.000    -764.565824    -764.550318    -764.619025     107.785824     107.786000      37.548165       9.730170     -33.384160
  500.000    -764.565824    -764.543946    -764.636924     116.689250     116.689000      42.224165      13.728664     -44.615961
  600.000    -764.565824    -764.536917    -764.656170     124.720750     124.720000      45.832165      18.139432     -56.693018
  700.000    -764.565824    -764.529383    -764.676635     132.003004     132.002000      48.597165      22.867092     -69.535011
  800.000    -764.565824    -764.521462    -764.698207     138.636569     138.637000      50.735165      27.837599     -83.071656
  900.000    -764.565824    -764.513238    -764.720792     144.713567     144.713000      52.409165      32.998241     -97.243970
 1000.000    -764.565824    -764.504776    -764.744305     150.306843     150.307000      53.740165      38.308230    -111.998612
 1100.000    -764.565824    -764.496123    -764.768675     155.481005     155.481000      54.813165      43.738075    -127.291031
 1200.000    -764.565824    -764.487316    -764.793840     160.289063     160.289000      55.688165      49.264555    -143.082320
 1300.000    -764.565824    -764.478382    -764.819746     164.776403     164.776000      56.411165      54.870729    -159.338594
 1400.000    -764.565824    -764.469343    -764.846343     168.979479     168.979000      57.013165      60.542792    -176.028478
 1500.000    -764.565824    -764.460216    -764.873589     172.930461     172.930000      57.520165      66.270076    -193.125615
 1600.000    -764.565824    -764.451015    -764.901447     176.656615     176.657000      57.950165      72.043796    -210.606789
 1700.000    -764.565824    -764.441750    -764.929883     180.181376     180.181000      58.317165      77.857676    -228.450663
 1800.000    -764.565824    -764.432431    -764.958865     183.523666     183.524000      58.633165      83.705441    -246.637158
 1900.000    -764.565824    -764.423064    -764.988367     186.701729     186.701000      58.907165      89.583328    -265.149958
 2000.000    -764.565824    -764.413657    -765.018363     189.729531     189.729000      59.146165      95.486314    -283.972748
