    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.098297    -476.098285    -476.098320      21.962850      22.469000       7.949204       0.007530      -0.014433
  100.000    -476.098297    -476.096770    -476.106621      61.816010      61.810000      11.477204       0.958208      -5.223393
  200.000    -476.098297    -476.094591    -476.117257      71.115708      71.116000      15.827204       2.325552     -11.897590
  300.000    -476.098297    -476.091759    -476.129178      78.269322      78.270000      19.640204       4.102660     -19.378136
  400.000    -476.098297    -476.088355    -476.142149      84.390682      84.390000      22.982204       6.238704     -27.517569
  500.000    -476.098297    -476.084466    -476.156039      89.825546      89.825000      25.727204       8.679091     -36.233682
  600.000    -476.098297    -476.080188    -476.170749      94.713222      94.714000      27.874204      11.363579     -45.464355
  700.000    -476.098297    -476.075607    -476.186201      99.141201      99.141000      29.536204      14.238202     -55.160639
  800.000    -476.098297    -476.070793    -476.202327     103.173625     103.173000      30.832204      17.259035     -65.279865
  900.000    -476.098297    -476.065795    -476.219067     106.866347     106.866000      31.857204      20.395330     -75.784383
 1000.000    -476.098297    -476.060650    -476.236372     110.267312     110.267000      32.680204      23.623869     -86.643443
 1100.000    -476.098297    -476.055387    -476.254198     113.414446     113.414000      33.349204      26.926454     -97.829437
 1200.000    -476.098297    -476.050027    -476.272507     116.340354     116.340000      33.900204      30.289908    -109.318517
 1300.000    -476.098297    -476.044587    -476.291267     119.072436     119.072000      34.358204      33.703562    -121.090605
 1400.000    -476.098297    -476.039080    -476.310449     121.633401     121.633000      34.742204      37.159260    -133.127502
 1500.000    -476.098297    -476.033517    -476.330026     124.041575     124.041000      35.068204      40.650098    -145.412265
 1600.000    -476.098297    -476.027906    -476.349976     126.313841     126.314000      35.345204      44.171056    -157.931089
 1700.000    -476.098297    -476.022254    -476.370279     128.464216     128.464000      35.583204      47.717743    -170.671425
 1800.000    -476.098297    -476.016567    -476.390914     130.503603     130.504000      35.789204      51.286392    -183.620094
 1900.000    -476.098297    -476.010849    -476.411867     132.443582     132.444000      35.968204      54.874494    -196.768311
 2000.000    -476.098297    -476.005104    -476.433122     134.292788     134.293000      36.124204      58.479539    -210.106036
