    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.098308    -476.098295    -476.098331      22.590360      22.407000       7.949204       0.008158      -0.014433
  100.000    -476.098308    -476.096762    -476.106622      61.872486      61.869000      11.838204       0.970130      -5.217118
  200.000    -476.098308    -476.094555    -476.117284      71.313374      71.314000      15.817204       2.355045     -11.907630
  300.000    -476.098308    -476.091731    -476.129235      78.447117      78.446000      19.579204       4.127133     -19.407002
  400.000    -476.098308    -476.088335    -476.142233      84.553835      84.554000      22.960204       6.258157     -27.563377
  500.000    -476.098308    -476.084447    -476.156148      89.986189      89.987000      25.724204       8.697916     -36.295178
  600.000    -476.098308    -476.080169    -476.170885      94.875329      94.875000      27.874204      11.382404     -45.542793
  700.000    -476.098308    -476.075589    -476.186362      99.301665      99.302000      29.533204      14.256400     -55.254766
  800.000    -476.098308    -476.070775    -476.202513     103.333640     103.334000      30.824204      17.277233     -65.389680
  900.000    -476.098308    -476.065779    -476.219279     107.025317     107.025000      31.844204      20.412273     -75.910512
 1000.000    -476.098308    -476.060637    -476.236609     110.424190     110.424000      32.662204      23.638929     -86.785261
 1100.000    -476.098308    -476.055377    -476.254460     113.569612     113.570000      33.329204      26.939632     -97.986942
 1200.000    -476.098308    -476.050020    -476.272794     116.494094     116.494000      33.878204      30.301203    -109.491710
 1300.000    -476.098308    -476.044584    -476.291579     119.224487     119.224000      34.335204      33.712347    -121.279485
 1400.000    -476.098308    -476.039081    -476.310784     121.783107     121.783000      34.719204      37.165535    -133.330815
 1500.000    -476.098308    -476.033521    -476.330385     124.190086     124.190000      35.045204      40.654490    -145.630638
 1600.000    -476.098308    -476.027914    -476.350359     126.460914     126.461000      35.323204      44.172939    -158.164523
 1700.000    -476.098308    -476.022265    -476.370684     128.609651     128.610000      35.561204      47.717743    -170.918664
 1800.000    -476.098308    -476.016581    -476.391343     130.648279     130.648000      35.768204      51.284510    -183.882393
 1900.000    -476.098308    -476.010867    -476.412319     132.586918     132.587000      35.948204      54.870102    -197.045043
 2000.000    -476.098308    -476.005125    -476.433597     134.435232     134.435000      36.105204      58.473264    -210.397200
