    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.757731    -476.757719    -476.757750      19.452810      19.673000       7.949204       0.007530      -0.011923
  100.000    -476.757731    -476.756219    -476.765574      58.703561      58.706000      11.585204       0.948795      -4.921561
  200.000    -476.757731    -476.754040    -476.775720      68.022084      68.022000      15.697204       2.316139     -11.288277
  300.000    -476.757731    -476.751217    -476.787144      75.148506      75.148000      19.745204       4.087600     -18.456952
  400.000    -476.757731    -476.747753    -476.799625      81.375497      81.375000      23.666204       6.261295     -26.288904
  500.000    -476.757731    -476.743705    -476.813050      87.029362      87.029000      27.026204       8.801455     -34.713226
  600.000    -476.757731    -476.739175    -476.827337      92.204228      92.205000      29.724204      11.644076     -43.678461
  700.000    -476.757731    -476.734261    -476.842415      96.953881      96.953000      31.861204      14.727660     -53.140057
  800.000    -476.757731    -476.729043    -476.858218     101.323255     101.323000      33.567204      18.002007     -63.056597
  900.000    -476.757731    -476.723580    -476.874691     105.359626     105.359000      34.947204      21.430094     -73.393570
 1000.000    -476.757731    -476.717918    -476.891783     109.102026     109.102000      36.079204      24.983056     -84.118971
 1100.000    -476.757731    -476.712091    -476.909450     112.586133     112.586000      37.019204      28.639556     -95.205190
 1200.000    -476.757731    -476.706127    -476.927654     115.842006     115.842000      37.806204      32.382026    -106.628382
 1300.000    -476.757731    -476.700048    -476.946360     118.894802     118.895000      38.470204      36.196659    -118.366584
 1400.000    -476.757731    -476.693871    -476.965538     121.766971     121.767000      39.035204      40.072789    -130.400971
 1500.000    -476.757731    -476.687611    -476.985161     124.477067     124.477000      39.518204      44.001001    -142.714599
 1600.000    -476.757731    -476.681279    -477.005204     127.041360     127.041000      39.935204      47.974395    -155.291782
 1700.000    -476.757731    -476.674886    -477.025645     129.473400     129.473000      40.295204      51.986066    -168.118714
 1800.000    -476.757731    -476.668439    -477.046464     131.785815     131.786000      40.609204      56.031623    -181.182845
 1900.000    -476.757731    -476.661945    -477.067642     133.988908     133.989000      40.883204      60.106673    -194.472252
 2000.000    -476.757731    -476.655410    -477.089163     136.092173     136.092000      41.124204      64.207451    -207.976894
