    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -376.845740    -376.845727    -376.845760      20.707830      20.883000       7.949204       0.008158      -0.012550
  100.000    -376.845740    -376.844260    -376.853765      59.644825      59.640000      10.934204       0.928715      -5.035768
  200.000    -376.845740    -376.842215    -376.864011      68.386040      68.385000      14.714204       2.211973     -11.465235
  300.000    -376.845740    -376.839590    -376.875454      75.016729      75.015000      18.184204       3.859186     -18.645832
  400.000    -376.845740    -376.836435    -376.887870      80.689942      80.689000      21.344204       5.838981     -26.436996
  500.000    -376.845740    -376.832815    -376.901139      85.747986      85.747000      23.992204       8.110567     -34.763426
  600.000    -376.845740    -376.828817    -376.915173      90.315423      90.316000      26.105204      10.619352     -43.569902
  700.000    -376.845740    -376.824518    -376.929902      94.470734      94.471000      27.782204      13.317017     -52.812497
  800.000    -376.845740    -376.819980    -376.945264      98.271204      98.272000      29.132204      16.164658     -62.452305
  900.000    -376.845740    -376.815246    -376.961207     101.768875     101.769000      30.238204      19.135290     -72.456697
 1000.000    -376.845740    -376.810352    -376.977686     105.003758     105.004000      31.156204      22.206324     -82.797434
 1100.000    -376.845740    -376.805324    -376.994662     108.010444     108.010000      31.927204      25.361444     -93.450044
 1200.000    -376.845740    -376.800182    -377.012100     110.817220     110.817000      32.581204      28.588101    -104.392564
 1300.000    -376.845740    -376.794944    -377.029972     113.448016     113.448000      33.139204      31.874998    -115.607422
 1400.000    -376.845740    -376.789624    -377.048250     115.921715     115.922000      33.618204      35.213351    -127.077050
 1500.000    -376.845740    -376.784233    -377.066911     118.255515     118.256000      34.031204      38.596258    -138.787014
 1600.000    -376.845740    -376.778781    -377.085934     120.463487     120.464000      34.390204      42.017442    -150.724137
 1700.000    -376.845740    -376.773275    -377.105299     122.557871     122.558000      34.702204      45.472512    -162.875868
 1800.000    -376.845740    -376.767722    -377.124990     124.549579     124.549000      34.975204      48.957075    -175.232168
 1900.000    -376.845740    -376.762129    -377.144991     126.447228     126.447000      35.215204      52.466739    -187.782995
 2000.000    -376.845740    -376.756500    -377.165287     128.258965     128.259000      35.426204      55.998992    -200.518938
