    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -277.600129    -277.600116    -277.600146      18.825300      18.494000       7.949204       0.008158      -0.010668
  100.000    -277.600129    -277.598850    -277.607645      55.189504      55.190000       8.428204       0.802585      -4.716365
  200.000    -277.600129    -277.597281    -277.617007      61.891311      61.891000      11.449204       1.787148     -10.591114
  300.000    -277.600129    -277.595189    -277.627301      67.168670      67.169000      14.797204       3.099899     -17.050702
  400.000    -277.600129    -277.592579    -277.638385      71.859308      71.859000      17.885204       4.737700     -24.006023
  500.000    -277.600129    -277.589516    -277.650182      76.137043      76.137000      20.463204       6.659764     -31.408758
  600.000    -277.600129    -277.586084    -277.662632      80.057726      80.058000      22.537204       8.813378     -39.221258
  700.000    -277.600129    -277.582354    -277.675682      83.663219      83.663000      24.216204      11.153990     -47.410263
  800.000    -277.600129    -277.578381    -277.689283      86.990143      86.990000      25.605204      13.647087     -55.945027
  900.000    -277.600129    -277.574205    -277.703394      90.074877      90.075000      26.777204      16.267569     -64.799820
 1000.000    -277.600129    -277.569856    -277.717980      92.949291      92.950000      27.778204      18.996610     -73.952681
 1100.000    -277.600129    -277.565359    -277.733009      95.638229      95.639000      28.640204      21.818523     -83.383529
 1200.000    -277.600129    -277.560734    -277.748453      98.162958      98.163000      29.387204      24.720756     -93.074793
 1300.000    -277.600129    -277.555998    -277.764288     100.541583     100.542000      30.035204      27.692644    -103.011414
 1400.000    -277.600129    -277.551165    -277.780491     102.788827     102.789000      30.600204      30.725400    -113.178959
 1500.000    -277.600129    -277.546249    -277.797043     104.917162     104.917000      31.093204      33.810239    -123.565504
 1600.000    -277.600129    -277.541258    -277.813925     106.938293     106.938000      31.525204      36.942141    -134.159128
 1700.000    -277.600129    -277.536204    -277.831121     108.860804     108.861000      31.905204      40.113577    -144.949790
 1800.000    -277.600129    -277.531092    -277.848616     110.694158     110.694000      32.240204      43.321408    -155.928077
 1900.000    -277.600129    -277.525930    -277.866397     112.445499     112.445000      32.536204      46.560614    -167.085833
 2000.000    -277.600129    -277.520724    -277.884451     114.121165     114.121000      32.798204      49.827432    -178.414898
