    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -277.600235    -277.600222    -277.600252      18.825300      18.495000       7.949204       0.008158      -0.010668
  100.000    -277.600235    -277.598791    -277.607865      56.940257      56.937000      10.202204       0.906124      -4.787901
  200.000    -277.600235    -277.596930    -277.617618      64.909634      64.908000      13.308204       2.073921     -10.908006
  300.000    -277.600235    -277.594539    -277.628457      70.946281      70.945000      16.681204       3.574297     -17.709587
  400.000    -277.600235    -277.591628    -277.640188      76.179714      76.178000      19.780204       5.400979     -25.070907
  500.000    -277.600235    -277.588263    -277.652708      80.879764      80.880000      22.367204       7.512550     -32.927332
  600.000    -277.600235    -277.584527    -277.665943      85.148924      85.149000      24.447204       9.856927     -41.232427
  700.000    -277.600235    -277.580492    -277.679827      89.048151      89.048000      26.131204      12.388930     -49.944776
  800.000    -277.600235    -277.576213    -277.694308      92.632242      92.631000      27.525204      15.074045     -59.031748
  900.000    -277.600235    -277.571731    -277.709337      95.943490      95.943000      28.701204      17.886545     -68.462596
 1000.000    -277.600235    -277.567075    -277.724874      99.020450      99.021000      29.706204      20.808232     -78.212219
 1100.000    -277.600235    -277.562270    -277.740886     101.893933     101.893000      30.572204      23.823417     -88.259909
 1200.000    -277.600235    -277.557337    -277.757340     104.586569     104.586000      31.322204      26.918924     -98.584959
 1300.000    -277.600235    -277.552293    -277.774211     107.119819     107.120000      31.974204      30.084084    -109.171680
 1400.000    -277.600235    -277.547151    -277.791474     109.510804     109.511000      32.542204      33.310741    -120.004385
 1500.000    -277.600235    -277.541925    -277.809107     111.772918     111.773000      33.038204      36.590108    -131.069269
 1600.000    -277.600235    -277.536624    -277.827092     113.919734     113.920000      33.474204      39.916539    -142.355036
 1700.000    -277.600235    -277.531259    -277.845410     115.960526     115.961000      33.856204      43.283130    -153.849764
 1800.000    -277.600235    -277.525836    -277.864046     117.905643     117.906000      34.193204      46.686116    -165.544041
 1900.000    -277.600235    -277.520362    -277.882984     119.762595     119.762000      34.492204      50.121106    -177.427825
 2000.000    -277.600235    -277.514844    -277.902212     121.538647     121.539000      34.756204      53.583706    -189.493587
