    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -388.045835    -388.045823    -388.045853      18.825300      18.888000       7.949165       0.007530      -0.011295
  100.000    -388.045835    -388.044512    -388.053427      55.942517      55.942000       9.383165       0.830196      -4.764056
  200.000    -388.045835    -388.042752    -388.062979      63.463224      63.463000      12.693165       1.934613     -10.758031
  300.000    -388.045835    -388.040489    -388.073563      69.180886      69.181000      15.596165       3.354668     -17.399597
  400.000    -388.045835    -388.037818    -388.084981      73.988135      73.988000      17.824165       5.030748     -24.564506
  500.000    -388.045835    -388.034837    -388.097111      78.155115      78.154000      19.502165       6.901355     -32.176203
  600.000    -388.045835    -388.031624    -388.109864      81.827304      81.827000      20.770165       8.917545     -40.178838
  700.000    -388.045835    -388.028234    -388.123170      85.104699      85.104000      21.730165      11.044804     -48.528486
  800.000    -388.045835    -388.024710    -388.136971      88.056125      88.056000      22.464165      13.256149     -57.188751
  900.000    -388.045835    -388.021083    -388.151221      90.736552      90.736000      23.031165      15.532128     -66.130769
 1000.000    -388.045835    -388.017376    -388.165878      93.186490      93.187000      23.474165      17.858307     -75.328183
 1100.000    -388.045835    -388.013606    -388.180911      95.441419      95.441000      23.825165      20.224020     -84.761541
 1200.000    -388.045835    -388.009786    -388.196289      97.527081      97.527000      24.106165      22.621108     -94.411390
 1300.000    -388.045835    -388.005926    -388.211987      99.465645      99.466000      24.334165      25.043297    -104.262042
 1400.000    -388.045835    -388.002032    -388.227984     101.276528     101.276000      24.521165      27.486821    -114.300319
 1500.000    -388.045835    -387.998112    -388.244260     102.973554     102.973000      24.676165      29.946660    -124.513672
 1600.000    -388.045835    -387.994169    -388.260798     104.570227     104.570000      24.806165      32.420932    -134.891432
 1700.000    -388.045835    -387.990207    -388.277583     106.077243     106.078000      24.916165      34.907126    -145.424187
 1800.000    -388.045835    -387.986228    -388.294603     107.504665     107.504000      25.009165      37.403989    -156.104408
 1900.000    -388.045835    -387.982236    -388.311843     108.858783     108.859000      25.089165      39.909008    -166.922680
 2000.000    -388.045835    -387.978232    -388.329295     110.147772     110.147000      25.158165      42.421559    -177.873985
