    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -388.761502    -388.761490    -388.761522      20.080320      20.151000       7.949165       0.007530      -0.012550
  100.000    -388.761502    -388.760197    -388.769289      57.053209      57.052000       9.082165       0.818901      -4.886420
  200.000    -388.761502    -388.758425    -388.779012      64.592742      64.593000      13.267165       1.930848     -10.987700
  300.000    -388.761502    -388.755994    -388.789806      70.724560      70.725000      17.111165       3.456325     -17.761043
  400.000    -388.761502    -388.753015    -388.801513      76.082450      76.082000      20.140165       5.325677     -25.107303
  500.000    -388.761502    -388.749615    -388.814023      80.833328      80.833000      22.407165       7.459211     -32.957453
  600.000    -388.761502    -388.745905    -388.827249      85.073622      85.073000      24.068165       9.787273     -41.256900
  700.000    -388.761502    -388.741967    -388.841115      88.880516      88.880000      25.297165      12.258408     -49.957954
  800.000    -388.761502    -388.737858    -388.855557      92.321624      92.321000      26.229165      14.836846     -59.020453
  900.000    -388.761502    -388.733618    -388.870523      95.454730      95.454000      26.956165      17.497489     -68.411768
 1000.000    -388.761502    -388.729274    -388.885966      98.325797      98.326000      27.541165      20.223392     -78.102405
 1100.000    -388.761502    -388.724846    -388.901849     100.973775     100.974000      28.022165      23.002007     -88.069146
 1200.000    -388.761502    -388.720347    -388.918139     103.430382     103.430000      28.426165      25.825174     -98.291284
 1300.000    -388.761502    -388.715789    -388.934806     105.719506     105.719000      28.769165      28.685365    -108.749993
 1400.000    -388.761502    -388.711180    -388.951826     107.862694     107.862000      29.064165      31.577558    -119.430213
 1500.000    -388.761502    -388.706528    -388.969177     109.876583     109.877000      29.320165      34.496735    -130.318139
 1600.000    -388.761502    -388.701837    -388.986840     111.776395     111.776000      29.544165      37.440384    -141.401848
 1700.000    -388.761502    -388.697113    -389.004797     113.573404     113.573000      29.740165      40.404741    -152.670045
 1800.000    -388.761502    -388.692360    -389.023033     115.278119     115.278000      29.913165      43.387296    -164.113318
 1900.000    -388.761502    -388.687580    -389.041534     116.899829     116.900000      30.066165      46.386794    -175.722880
 2000.000    -388.761502    -388.682778    -389.060287     118.445336     118.445000      30.202165      49.400097    -187.490575
