    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -575.361018    -575.361005    -575.361043      23.845380      23.612000       7.949204       0.008158      -0.015688
  100.000    -575.361018    -575.359446    -575.369546      63.378510      63.378000      12.295204       0.986446      -5.351405
  200.000    -575.361018    -575.357056    -575.380501      73.559860      73.559000      17.647204       2.486195     -12.225777
  300.000    -575.361018    -575.353867    -575.392884      81.611859      81.611000      22.216204       4.487324     -19.996234
  400.000    -575.361018    -575.350027    -575.406452      88.518129      88.519000      25.824204       6.896962     -28.510289
  500.000    -575.361018    -575.345683    -575.421052      94.589602      94.590000      28.554204       9.622866     -37.671935
  600.000    -575.361018    -575.340964    -575.436564      99.983260      99.983000      30.567204      12.584086     -47.405870
  700.000    -575.361018    -575.335969    -575.452889     104.812099     104.812000      32.046204      15.718498     -57.649971
  800.000    -575.361018    -575.330771    -575.469945     109.166346     109.166000      33.143204      18.980295     -68.352782
  900.000    -575.361018    -575.325420    -575.487661     113.119833     113.120000      33.968204      22.338101     -79.469749
 1000.000    -575.361018    -575.319954    -575.505980     116.733175     116.733000      34.599204      25.768071     -90.965105
 1100.000    -575.361018    -575.314400    -575.524851     120.054643     120.055000      35.091204      29.253261    -102.806846
 1200.000    -575.361018    -575.308776    -575.544231     123.125306     123.125000      35.479204      32.782377    -114.967990
 1300.000    -575.361018    -575.303096    -575.564082     125.977942     125.978000      35.790204      36.346634    -127.424691
 1400.000    -575.361018    -575.297372    -575.584372     128.639550     128.640000      36.043204      39.938501    -140.156869
 1500.000    -575.361018    -575.291611    -575.605073     131.133693     131.134000      36.251204      43.553587    -153.146953
 1600.000    -575.361018    -575.285820    -575.626159     133.478829     133.479000      36.424204      47.187497    -166.378629
 1700.000    -575.361018    -575.280003    -575.647609     135.692024     135.692000      36.569204      50.837723    -179.838718
 1800.000    -575.361018    -575.274165    -575.669401     137.785857     137.786000      36.692204      54.501126    -193.513416
 1900.000    -575.361018    -575.268309    -575.691518     139.772568     139.772000      36.797204      58.175825    -207.392055
 2000.000    -575.361018    -575.262438    -575.713944     141.662265     141.662000      36.888204      61.859936    -221.464594
