    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.769551    -476.769539    -476.769572      20.707830      20.944000       7.949204       0.007530      -0.013178
  100.000    -476.769551    -476.768093    -476.777546      59.318520      59.317000      11.117204       0.914910      -5.016942
  200.000    -476.769551    -476.765956    -476.787766      68.429965      68.429000      15.706204       2.255898     -11.430095
  300.000    -476.769551    -476.763099    -476.799260      75.637964      75.638000      20.107204       4.048695     -18.642695
  400.000    -476.769551    -476.759568    -476.811828      81.984181      81.984000      24.105204       6.264432     -26.529240
  500.000    -476.769551    -476.755453    -476.825359      87.733428      87.733000      27.429204       8.846636     -35.020078
  600.000    -476.769551    -476.750863    -476.839764      92.977111      92.977000      30.065204      11.726907     -44.059360
  700.000    -476.769551    -476.745900    -476.854969      97.774126      97.774000      32.141204      14.841239     -53.600649
  800.000    -476.769551    -476.740641    -476.870906     102.178238     102.178000      33.796204      18.141314     -63.601276
  900.000    -476.769551    -476.735145    -476.887516     106.238140     106.238000      35.136204      21.590109     -74.024217
 1000.000    -476.769551    -476.729455    -476.904750     109.999365     109.999000      36.235204      25.160641     -84.838724
 1100.000    -476.769551    -476.723606    -476.922561     113.496593     113.497000      37.149204      28.830947     -96.015305
 1200.000    -476.769551    -476.717623    -476.940911     116.762877     116.763000      37.915204      32.585339    -107.530114
 1300.000    -476.769551    -476.711528    -476.959765     119.824000     119.824000      38.563204      36.410013    -119.361187
 1400.000    -476.769551    -476.705337    -476.979092     122.702857     122.703000      39.114204      40.294927    -131.489073
 1500.000    -476.769551    -476.699066    -476.998864     125.417495     125.418000      39.587204      44.230042    -143.896201
 1600.000    -476.769551    -476.692724    -477.019057     127.985763     127.986000      39.995204      48.209711    -156.567510
 1700.000    -476.769551    -476.686321    -477.039649     130.421678     130.421000      40.348204      52.227657    -169.489196
 1800.000    -476.769551    -476.679866    -477.060619     132.736842     132.737000      40.655204      56.278234    -182.648081
 1900.000    -476.769551    -476.673366    -477.081949     134.942062     134.942000      40.924204      60.357049    -196.032869
 2000.000    -476.769551    -476.666825    -477.103622     137.047243     137.047000      41.161204      64.461592    -209.632893
