    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.109825    -476.109812    -476.109847      21.962850      22.258000       7.949204       0.008158      -0.013805
  100.000    -476.109825    -476.108320    -476.118076      61.219876      61.218000      11.494204       0.944403      -5.177585
  200.000    -476.109825    -476.106094    -476.128628      70.701552      70.700000      16.426204       2.341240     -11.799071
  300.000    -476.109825    -476.103124    -476.140509      78.198205      78.199000      20.711204       4.204945     -19.254517
  400.000    -476.109825    -476.099538    -476.153497      84.649530      84.649000      24.150204       6.455195     -27.404617
  500.000    -476.109825    -476.095469    -476.167448      90.335085      90.335000      26.792204       9.008534     -36.159009
  600.000    -476.109825    -476.091034    -476.182256      95.404529      95.404000      28.779204      11.791540     -45.451177
  700.000    -476.109825    -476.086322    -476.197828      99.958757      99.959000      30.281204      14.748368     -55.222763
  800.000    -476.109825    -476.081401    -476.214092     104.081162     104.081000      31.438204      17.836344     -65.428585
  900.000    -476.109825    -476.076315    -476.230982     107.838988     107.839000      32.349204      21.027860     -76.027229
 1000.000    -476.109825    -476.071100    -476.248445     111.285761     111.286000      33.079204      24.300325     -86.985436
 1100.000    -476.109825    -476.065779    -476.266437     114.468092     114.468000      33.676204      27.639305     -98.275596
 1200.000    -476.109825    -476.060372    -476.284916     117.419671     117.420000      34.169204      31.032252    -109.871353
 1300.000    -476.109825    -476.054893    -476.303850     120.171544     120.171000      34.581204      34.470379    -121.752628
 1400.000    -476.109825    -476.049354    -476.323208     122.747231     122.747000      34.929204      37.946157    -133.899966
 1500.000    -476.109825    -476.043763    -476.342964     125.167746     125.167000      35.225204      41.454566    -146.297054
 1600.000    -476.109825    -476.038129    -476.363094     127.449242     127.449000      35.479204      44.989957    -158.928830
 1700.000    -476.109825    -476.032457    -476.383578     129.607023     129.607000      35.698204      48.549194    -171.782745
 1800.000    -476.109825    -476.026753    -476.404397     131.652992     131.653000      35.888204      52.128511    -184.846876
 1900.000    -476.109825    -476.021020    -476.425533     133.597870     133.598000      36.054204      55.726026    -198.109927
 2000.000    -476.109825    -476.015263    -476.446972     135.450857     135.451000      36.199204      59.338601    -211.563114
