    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -551.339214    -551.339201    -551.339239      23.845380      23.555000       7.949165       0.008158      -0.015688
  100.000    -551.339214    -551.337644    -551.347711      63.171432      63.168000      12.633165       0.985191      -5.331952
  200.000    -551.339214    -551.335116    -551.358673      73.911265      73.910000      18.950165       2.571536     -12.210717
  300.000    -551.339214    -551.331671    -551.371163      82.605416      82.605000      24.085165       4.733308     -20.048317
  400.000    -551.339214    -551.327497    -551.384938      90.112005      90.112000      28.128165       7.352535     -28.692267
  500.000    -551.339214    -551.322758    -551.399837      96.735687      96.736000      31.208165      10.326305     -38.041539
  600.000    -551.339214    -551.317592    -551.415732     102.639719     102.639000      33.501165      13.568021     -48.015810
  700.000    -551.339214    -551.312111    -551.432518     107.937995     107.938000      35.212165      17.007404     -58.549193
  800.000    -551.339214    -551.306391    -551.450107     112.729034     112.729000      36.511165      20.596761     -69.586466
  900.000    -551.339214    -551.300489    -551.468424     117.089880     117.090000      37.520165      24.300325     -81.080567
 1000.000    -551.339214    -551.294444    -551.487407     121.086212     121.086000      38.323165      28.093623     -92.992589
 1100.000    -551.339214    -551.288283    -551.507000     124.770095     124.770000      38.976165      31.959712    -105.287393
 1200.000    -551.339214    -551.282027    -551.527159     128.185651     128.185000      39.516165      35.885414    -117.937367
 1300.000    -551.339214    -551.275693    -551.547843     131.366805     131.367000      39.970165      39.860063    -130.916784
 1400.000    -551.339214    -551.269291    -551.569018     134.344064     134.344000      40.356165      43.877382    -144.204308
 1500.000    -551.339214    -551.262833    -551.590652     137.139800     137.139000      40.686165      47.929841    -157.779859
 1600.000    -551.339214    -551.256326    -551.612718     139.774715     139.775000      40.972165      52.013049    -171.626495
 1700.000    -551.339214    -551.249776    -551.635193     142.266483     142.266000      41.221165      56.123239    -185.729782
 1800.000    -551.339214    -551.243190    -551.658054     144.628505     144.629000      41.439165      60.256020    -200.075288
 1900.000    -551.339214    -551.236570    -551.681283     146.874660     146.874000      41.631165      64.410136    -214.651718
 2000.000    -551.339214    -551.229922    -551.704861     149.014486     149.014000      41.800165      68.581823    -229.447149
