    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -551.339464    -551.339451    -551.339489      23.845380      23.548000       7.949165       0.008158      -0.015688
  100.000    -551.339464    -551.337871    -551.347986      63.472637      63.473000      12.864165       0.999623      -5.347640
  200.000    -551.339464    -551.335310    -551.359011      74.363073      74.362000      19.108165       2.606677     -12.265938
  300.000    -551.339464    -551.331846    -551.371578      83.107424      83.107000      24.178165       4.780371     -20.151856
  400.000    -551.339464    -551.327660    -551.385435      90.635976      90.636000      28.192165       7.407128     -28.847262
  500.000    -551.339464    -551.322911    -551.400418      97.272835      97.273000      31.256165      10.387173     -38.249245
  600.000    -551.339464    -551.317739    -551.416399     103.183561     103.183000      33.540165      13.632655     -48.277482
  700.000    -551.339464    -551.312252    -551.433272     108.487515     108.488000      35.244165      17.075802     -58.865458
  800.000    -551.339464    -551.306528    -551.450949     113.282027     113.282000      36.537165      20.667669     -69.957952
  900.000    -551.339464    -551.300622    -551.469355     117.646272     117.646000      37.542165      24.373743     -81.507901
 1000.000    -551.339464    -551.294573    -551.488426     121.644696     121.644000      38.342165      28.169551     -93.475145
 1100.000    -551.339464    -551.288410    -551.508109     125.330290     125.330000      38.993165      32.036896    -105.826424
 1200.000    -551.339464    -551.282151    -551.528357     128.747273     128.747000      39.531165      35.964481    -118.532246
 1300.000    -551.339464    -551.275815    -551.549131     131.929633     131.930000      39.983165      39.940384    -131.568139
 1400.000    -551.339464    -551.269411    -551.570395     134.907478     134.907000      40.368165      43.958958    -144.911512
 1500.000    -551.339464    -551.262952    -551.592119     137.703723     137.704000      40.697165      48.012045    -158.543539
 1600.000    -551.339464    -551.256443    -551.614275     140.339474     140.340000      40.982165      52.096508    -172.446651
 1700.000    -551.339464    -551.249892    -551.636840     142.831611     142.832000      41.230165      56.207326    -186.606414
 1800.000    -551.339464    -551.243304    -551.659792     145.194658     145.195000      41.447165      60.341362    -201.009023
 1900.000    -551.339464    -551.236683    -551.683110     147.440740     147.441000      41.638165      64.496105    -215.641301
 2000.000    -551.339464    -551.230034    -551.706778     149.580814     149.581000      41.807165      68.668419    -230.493208
