    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -376.867397    -376.867385    -376.867417      20.080320      20.336000       7.949204       0.007530      -0.012550
  100.000    -376.867397    -376.865946    -376.875319      58.816512      58.818000      10.507204       0.910517      -4.971134
  200.000    -376.867397    -376.863932    -376.885414      67.400849      67.401000      14.950204       2.174322     -11.305848
  300.000    -376.867397    -376.861197    -376.896718      74.299276      74.300000      19.235204       3.890562     -18.399221
  400.000    -376.867397    -376.857848    -376.909049      80.322849      80.322000      22.651204       5.992093     -26.137047
  500.000    -376.867397    -376.854022    -376.922283      85.668920      85.669000      25.242204       8.392946     -34.441514
  600.000    -376.867397    -376.849837    -376.936323      90.451383      90.452000      27.194204      11.019076     -43.251754
  700.000    -376.867397    -376.845378    -376.951087      94.762078      94.761000      28.695204      13.817143     -52.516312
  800.000    -376.867397    -376.840707    -376.966504      98.673594      98.674000      29.886204      16.748242     -62.190634
  900.000    -376.867397    -376.835865    -376.982518     102.251360     102.252000      30.858204      19.786645     -72.239579
 1000.000    -376.867397    -376.830881    -376.999079     105.545927     105.546000      31.667204      22.914155     -82.631772
 1100.000    -376.867397    -376.825778    -377.016145     108.597451     108.597000      32.351204      26.116339     -93.340857
 1200.000    -376.867397    -376.820575    -377.033680     111.437932     111.438000      32.935204      29.381273    -104.344245
 1300.000    -376.867397    -376.815286    -377.051653     114.094351     114.094000      33.437204      32.700174    -115.622483
 1400.000    -376.867397    -376.809922    -377.070035     116.588220     116.588000      33.870204      36.066137    -127.157371
 1500.000    -376.867397    -376.804493    -377.088804     118.938664     118.938000      34.247204      39.472889    -138.935107
 1600.000    -376.867397    -376.799009    -377.107937     121.159631     121.159000      34.575204      42.914154    -150.941255
 1700.000    -376.867397    -376.793476    -377.127414     123.264373     123.264000      34.863204      46.386167    -163.163268
 1800.000    -376.867397    -376.787899    -377.147218     125.264592     125.264000      35.116204      49.885790    -175.590476
 1900.000    -376.867397    -376.782285    -377.167333     127.169195     127.169000      35.339204      53.408631    -188.212839
 2000.000    -376.867397    -376.776637    -377.187745     128.987191     128.987000      35.536204      56.952808    -201.021573
