    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.107304    -476.107291    -476.107327      22.590360      22.257000       7.949165       0.008158      -0.014433
  100.000    -476.107304    -476.105797    -476.115559      61.257526      61.258000      11.481165       0.945658      -5.180095
  200.000    -476.107304    -476.103578    -476.126115      70.710964      70.712000      16.370165       2.338102     -11.804091
  300.000    -476.107304    -476.100616    -476.137997      78.189838      78.190000      20.663165       4.196787     -19.260164
  400.000    -476.107304    -476.097037    -476.150982      84.627567      84.627000      24.114165       6.442645     -27.408382
  500.000    -476.107304    -476.092973    -476.164929      90.306219      90.307000      26.767165       8.992846     -36.160264
  600.000    -476.107304    -476.088541    -476.179732      95.372107      95.372000      28.761165      11.773970     -45.449294
  700.000    -476.107304    -476.083832    -476.195299      99.923796      99.924000      30.269165      14.728915     -55.217742
  800.000    -476.107304    -476.078912    -476.211557     104.045080     104.045000      31.430165      17.816264     -65.419800
  900.000    -476.107304    -476.073827    -476.228441     107.802035     107.802000      32.344165      21.007152     -76.014679
 1000.000    -476.107304    -476.068612    -476.245899     111.249365     111.249000      33.078165      24.279617     -86.969748
 1100.000    -476.107304    -476.063292    -476.263885     114.431012     114.431000      33.676165      27.617970     -98.256143
 1200.000    -476.107304    -476.057885    -476.282358     117.382544     117.383000      34.170165      31.010917    -109.848136
 1300.000    -476.107304    -476.052405    -476.301286     120.134859     120.135000      34.583165      34.449671    -121.725645
 1400.000    -476.107304    -476.046866    -476.320638     122.710477     122.711000      34.932165      37.925449    -133.869218
 1500.000    -476.107304    -476.041275    -476.340388     125.130932     125.131000      35.229165      41.433858    -146.262541
 1600.000    -476.107304    -476.035640    -476.360513     127.413160     127.413000      35.483165      44.969877    -158.891180
 1700.000    -476.107304    -476.029967    -476.380991     129.571218     129.571000      35.702165      48.529741    -171.741329
 1800.000    -476.107304    -476.024262    -476.401804     131.617434     131.617000      35.892165      52.109685    -184.801695
 1900.000    -476.107304    -476.018529    -476.422935     133.562531     133.562000      36.058165      55.707200    -198.061609
 2000.000    -476.107304    -476.012771    -476.444368     135.415717     135.416000      36.203165      59.320403    -211.511031
