    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -338.234649    -338.234637    -338.234660      14.432730      14.964000       7.949165       0.007530      -0.006903
  100.000    -338.234649    -338.233379    -338.241601      51.593872      51.593000       8.101165       0.796938      -4.362450
  200.000    -338.234649    -338.231967    -338.250346      57.665031      57.666000       9.852165       1.682982      -9.850024
  300.000    -338.234649    -338.230210    -338.259901      62.104665      62.103000      12.221165       2.785517     -15.845883
  400.000    -338.234649    -338.228075    -338.270109      65.941888      65.942000      14.536165       4.125251     -22.251505
  500.000    -338.234649    -338.225596    -338.280898      69.405116      69.405000      16.503165       5.680848     -29.021710
  600.000    -338.234649    -338.222837    -338.292213      72.556890      72.557000      18.066165       7.412148     -36.121986
  700.000    -338.234649    -338.219856    -338.304009      75.438356      75.438000      19.291165       9.282755     -43.524094
  800.000    -338.234649    -338.216702    -338.316244      78.079501      78.080000      20.259165      11.261922     -51.201678
  900.000    -338.234649    -338.213409    -338.328884      80.513019      80.512000      21.034165      13.328312     -59.133405
 1000.000    -338.234649    -338.210005    -338.341896      82.762921      82.762000      21.666165      15.464356     -67.298565
 1100.000    -338.234649    -338.206510    -338.355253      84.852473      84.852000      22.187165      17.657504     -75.680216
 1200.000    -338.234649    -338.202939    -338.368932      86.801890      86.802000      22.620165      19.898342     -84.263925
 1300.000    -338.234649    -338.199304    -338.382912      88.627582      88.628000      22.985165      22.179341     -93.036515
 1400.000    -338.234649    -338.195616    -338.397174      90.342615      90.343000      23.295165      24.493598    -101.986063
 1500.000    -338.234649    -338.191882    -338.411701      91.959080      91.959000      23.559165      26.836720    -111.101901
 1600.000    -338.234649    -338.188109    -338.426478      93.486832      93.487000      23.786165      29.204315    -120.374616
 1700.000    -338.234649    -338.184302    -338.441493      94.935250      94.935000      23.982165      31.593246    -129.796678
 1800.000    -338.234649    -338.180467    -338.456732      96.310583      96.311000      24.152165      33.999747    -139.359303
 1900.000    -338.234649    -338.176606    -338.472185      97.620410      97.621000      24.301165      36.422563    -149.056215
 2000.000    -338.234649    -338.172722    -338.487843      98.870789      98.870000      24.432165      38.859812    -158.881767
