    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -725.800722    -725.800709    -725.800750      25.727910      25.730000       7.949165       0.008158      -0.017570
  100.000    -725.800722    -725.798938    -725.809780      68.034634      68.037000      14.636165       1.119478      -5.683986
  200.000    -725.800722    -725.796027    -725.821655      80.409131      80.408000      21.898165       2.946159     -13.135667
  300.000    -725.800722    -725.792004    -725.835297      90.555968      90.555000      28.379165       5.470632     -21.696158
  400.000    -725.800722    -725.787054    -725.850451      99.455629      99.456000      33.521165       8.576807     -31.205445
  500.000    -725.800722    -725.781391    -725.866943     107.369471     107.370000      37.350165      12.130396     -41.554340
  600.000    -725.800722    -725.775205    -725.884627     114.438999     114.439000      40.126165      16.012173     -52.651227
  700.000    -725.800722    -725.768642    -725.903378     120.783125     120.783000      42.137165      20.130521     -64.417667
  800.000    -725.800722    -725.761804    -725.923090     126.510722     126.511000      43.613165      24.421434     -76.787144
  900.000    -725.800722    -725.754761    -725.943672     131.715046     131.715000      44.715165      28.840987     -89.702555
 1000.000    -725.800722    -725.747566    -725.965047     136.471502     136.471000      45.553165      33.355922    -103.115581
 1100.000    -725.800722    -725.740253    -725.987148     140.844619     140.845000      46.202165      37.944902    -116.984179
 1200.000    -725.800722    -725.732848    -726.009919     144.887353     144.888000      46.713165      42.591614    -131.273209
 1300.000    -725.800722    -725.725370    -726.033311     148.643121     148.643000      47.122165      47.284134    -145.951923
 1400.000    -725.800722    -725.717833    -726.057282     152.148316     152.148000      47.453165      52.013676    -160.993966
 1500.000    -725.800722    -725.710249    -726.081792     155.431299     155.432000      47.725165      56.772712    -176.374236
 1600.000    -725.800722    -725.702625    -726.106810     158.518831     158.519000      47.951165      61.556848    -192.073281
 1700.000    -725.800722    -725.694968    -726.132306     161.431746     161.432000      48.140165      66.361693    -208.072276
 1800.000    -725.800722    -725.687283    -726.158254     164.188340     164.188000      48.300165      71.184107    -224.354905
 1900.000    -725.800722    -725.679574    -726.184629     166.803717     166.803000      48.437165      76.021581    -240.905482
 2000.000    -725.800722    -725.671846    -726.211411     169.291217     169.291000      48.555165      80.870979    -257.711454
