    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -912.884216    -912.884204    -912.884246      26.355420      26.511000       7.949204       0.007530      -0.018825
  100.000    -912.884216    -912.881968    -912.893767      74.039905      74.039000      19.894204       1.410642      -5.993348
  200.000    -912.884216    -912.878048    -912.906963      90.722258      90.723000      29.097204       3.870482     -14.273970
  300.000    -912.884216    -912.872790    -912.922509     103.997232     103.998000      36.562204       7.169929     -24.029240
  400.000    -912.884216    -912.866492    -912.940007     115.328494     115.327000      42.192204      11.121987     -35.009410
  500.000    -912.884216    -912.859423    -912.959190     125.209580     125.209000      46.311204      15.557855     -47.046935
  600.000    -912.884216    -912.851793    -912.979852     133.930505     133.931000      49.286204      20.345757     -60.012546
  700.000    -912.884216    -912.843757    -913.001825     141.698930     141.699000      51.445204      25.388427     -73.800824
  800.000    -912.884216    -912.835426    -913.024972     148.677513     148.677000      53.032204      30.616213     -88.325798
  900.000    -912.884216    -912.826876    -913.049177     154.995667     154.996000      54.221204      35.981423    -103.514677
 1000.000    -912.884216    -912.818160    -913.074343     160.757394     160.757000      55.126204      41.450801    -119.306594
 1100.000    -912.884216    -912.809317    -913.100388     166.045421     166.046000      55.829204      46.999871    -135.650092
 1200.000    -912.884216    -912.800374    -913.127244     170.928495     170.928000      56.383204      52.611693    -152.502500
 1300.000    -912.884216    -912.791352    -913.154848     175.459519     175.459000      56.827204      58.273089    -169.824286
 1400.000    -912.884216    -912.782266    -913.183150     179.684799     179.684000      57.187204      63.974644    -187.584074
 1500.000    -912.884216    -912.773129    -913.212103     183.640383     183.640000      57.483204      69.708203    -205.752371
 1600.000    -912.884216    -912.763948    -913.241667     187.358406     187.358000      57.728204      75.469373    -224.304077
 1700.000    -912.884216    -912.754732    -913.271806     190.864180     190.864000      57.934204      81.252505    -243.216601
 1800.000    -912.884216    -912.745485    -913.302489     194.180878     194.181000      58.109204      87.055090    -262.470490
 1900.000    -912.884216    -912.736212    -913.333687     197.327125     197.327000      58.258204      92.873990    -282.047547
 2000.000    -912.884216    -912.726918    -913.365373     200.318449     200.318000      58.386204      98.706068    -301.930829
