    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -278.244061    -278.244048    -278.244076      17.570280      17.272000       7.949204       0.008158      -0.009413
  100.000    -278.244061    -278.242649    -278.251450      55.227155      55.232000      10.211204       0.886044      -4.636671
  200.000    -278.244061    -278.240835    -278.260924      63.030242      63.032000      12.523204       2.024347     -10.581701
  300.000    -278.244061    -278.238624    -278.271429      68.618218      68.617000      15.378204       3.411772     -17.173694
  400.000    -278.244061    -278.235901    -278.282759      73.509659      73.508000      18.816204       5.120482     -24.283382
  500.000    -278.244061    -278.232636    -278.294840      78.067264      78.067000      22.100204       7.169302     -31.864330
  600.000    -278.244061    -278.228882    -278.307626      82.354412      82.354000      24.932204       9.524974     -39.887673
  700.000    -278.244061    -278.224714    -278.321074      86.381234      86.381000      27.314204      12.140436     -48.326428
  800.000    -278.244061    -278.220197    -278.335144      90.162990      90.163000      29.320204      14.974899     -57.155493
  900.000    -278.244061    -278.215385    -278.349799      93.717921      93.718000      31.024204      17.994477     -66.351652
 1000.000    -278.244061    -278.210322    -278.365003      97.063874      97.064000      32.479204      21.171560     -75.892314
 1100.000    -278.244061    -278.205044    -278.380725     100.219622     100.220000      33.729204      24.483558     -85.758027
 1200.000    -278.244061    -278.199581    -278.396936     103.201863     103.202000      34.805204      27.911645     -95.930591
 1300.000    -278.244061    -278.193959    -278.413609     106.025055     106.025000      35.735204      31.439506    -106.393065
 1400.000    -278.244061    -278.188198    -278.430721     108.704006     108.704000      36.541204      35.054591    -117.131017
 1500.000    -278.244061    -278.182318    -278.448248     111.249156     111.249000      37.242204      38.744350    -128.129384
 1600.000    -278.244061    -278.176333    -278.466171     113.672652     113.673000      37.854204      42.499997    -139.376246
 1700.000    -278.244061    -278.170257    -278.484472     115.984150     115.984000      38.389204      46.312748    -150.860307
 1800.000    -278.244061    -278.164101    -278.503132     118.191857     118.192000      38.858204      50.175700    -162.569643
 1900.000    -278.244061    -278.157875    -278.522137     120.304236     120.304000      39.273204      54.082577    -174.495471
 2000.000    -278.244061    -278.151587    -278.541471     122.328054     122.328000      39.639204      58.028360    -186.627749
