    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -277.590505    -277.590493    -277.590522      18.197790      18.658000       7.949204       0.007530      -0.010668
  100.000    -277.590505    -277.589103    -277.598108      56.507276      56.506000      10.160204       0.879769      -4.770959
  200.000    -277.590505    -277.587259    -277.607789      64.413902      64.414000      12.967204       2.036897     -10.845883
  300.000    -277.590505    -277.584962    -277.618532      70.218369      70.218000      15.901204       3.478288     -17.587223
  400.000    -277.590505    -277.582188    -277.630127      75.205505      75.206000      18.885204       5.219001     -24.863201
  500.000    -277.590505    -277.578962    -277.642476      79.711340      79.712000      21.529204       7.243348     -32.612322
  600.000    -277.590505    -277.575350    -277.655513      83.838474      83.838000      23.722204       9.509914     -40.793170
  700.000    -277.590505    -277.571421    -277.669180      87.635357      87.635000      25.527204      11.975401     -49.369349
  800.000    -277.590505    -277.567230    -277.683429      91.145043      91.144000      27.028204      14.605295     -58.310739
  900.000    -277.590505    -277.562820    -277.698216      94.402604      94.403000      28.293204      17.372614     -67.589730
 1000.000    -277.590505    -277.558223    -277.713505      97.441008      97.441000      29.371204      20.257278     -77.183730
 1100.000    -277.590505    -277.553466    -277.729262     100.285225     100.285000      30.296204      23.242343     -87.071405
 1200.000    -277.590505    -277.548573    -277.745459     102.956612     102.956000      31.093204      26.312749     -97.235185
 1300.000    -277.590505    -277.543562    -277.762068     105.472846     105.473000      31.782204      29.457202    -107.657498
 1400.000    -277.590505    -277.538448    -277.779068     107.851040     107.851000      32.381204      32.666288    -118.325168
 1500.000    -277.590505    -277.533246    -277.796436     110.102905     110.103000      32.902204      35.930595    -129.223762
 1600.000    -277.590505    -277.527966    -277.814153     112.240753     112.241000      33.356204      39.243848    -140.341356
 1700.000    -277.590505    -277.522617    -277.832204     114.275846     114.276000      33.755204      42.600399    -151.668539
 1800.000    -277.590505    -277.517210    -277.850570     116.214852     116.215000      34.106204      45.993345    -163.193388
 1900.000    -277.590505    -277.511749    -277.869239     118.067658     118.067000      34.415204      49.420178    -174.908372
 2000.000    -277.590505    -277.506243    -277.888197     119.839977     119.840000      34.689204      52.875248    -186.804707
