    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -277.590500    -277.590487    -277.590517      18.825300      18.658000       7.949204       0.008158      -0.010668
  100.000    -277.590500    -277.589096    -277.598103      56.519826      56.516000      10.165204       0.881024      -4.770959
  200.000    -277.590500    -277.587252    -277.607786      64.426452      64.427000      12.968204       2.038152     -10.847138
  300.000    -277.590500    -277.584955    -277.618531      70.230919      70.231000      15.898204       3.479543     -17.589733
  400.000    -277.590500    -277.582182    -277.630128      75.216486      75.217000      18.881204       5.219628     -24.866966
  500.000    -277.590500    -277.578956    -277.642479      79.722635      79.723000      21.524204       7.243975     -32.617342
  600.000    -277.590500    -277.575346    -277.655517      83.846840      83.847000      23.718204       9.509287     -40.798818
  700.000    -277.590500    -277.571417    -277.669186      87.644322      87.644000      25.523204      11.974773     -49.376252
  800.000    -277.590500    -277.567227    -277.683436      91.152887      91.153000      27.025204      14.604040     -58.318269
  900.000    -277.590500    -277.562816    -277.698225      94.411668      94.411000      28.291204      17.371987     -67.598515
 1000.000    -277.590500    -277.558220    -277.713515      97.449165      97.449000      29.369204      20.256023     -77.193143
 1100.000    -277.590500    -277.553464    -277.729273     100.292641     100.293000      30.294204      23.240460     -87.081445
 1200.000    -277.590500    -277.548571    -277.745471     102.963933     102.964000      31.092204      26.310867     -97.245852
 1300.000    -277.590500    -277.543560    -277.762082     105.480569     105.480000      31.781204      29.455319    -107.669421
 1400.000    -277.590500    -277.538447    -277.779082     107.857763     107.858000      32.380204      32.663778    -118.337091
 1500.000    -277.590500    -277.533244    -277.796451     110.110016     110.110000      32.901204      35.928713    -129.236312
 1600.000    -277.590500    -277.527964    -277.814170     112.248204     112.248000      33.356204      39.241965    -140.355162
 1700.000    -277.590500    -277.522616    -277.832222     114.282859     114.283000      33.754204      42.597889    -151.682972
 1800.000    -277.590500    -277.517208    -277.850590     116.222522     116.222000      34.105204      45.991463    -163.209076
 1900.000    -277.590500    -277.511748    -277.869259     118.074593     118.075000      34.414204      49.417668    -174.924060
 2000.000    -277.590500    -277.506241    -277.888218     119.847194     119.847000      34.688204      52.873365    -186.821022
