    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -178.340534    -178.340521    -178.340546      15.687750      15.575000       7.949204       0.008158      -0.007530
  100.000    -178.340534    -178.339132    -178.347655      53.482677      53.486000       9.835204       0.879769      -4.468499
  200.000    -178.340534    -178.337400    -178.356820      60.931221      60.932000      11.981204       1.966616     -10.219628
  300.000    -178.340534    -178.335286    -178.366971      66.275515      66.274000      14.622204       3.293172     -16.589482
  400.000    -178.340534    -178.332731    -178.377905      70.867842      70.868000      17.431204       4.896461     -23.450676
  500.000    -178.340534    -178.329746    -178.389535      75.036391      75.037000      19.966204       6.769578     -30.748618
  600.000    -178.340534    -178.326388    -178.401803      78.872778      78.873000      22.114204       8.876756     -38.446910
  700.000    -178.340534    -178.322715    -178.414659      82.422542      82.422000      23.927204      11.181601     -46.514179
  800.000    -178.340534    -178.318776    -178.428059      85.720219      85.721000      25.479204      13.653363     -54.922813
  900.000    -178.340534    -178.314606    -178.441968      88.801032      88.801000      26.822204      16.270079     -63.650849
 1000.000    -178.340534    -178.310236    -178.456352      91.689251      91.689000      27.992204      19.012298     -72.676953
 1100.000    -178.340534    -178.305692    -178.471182      94.406027      94.406000      29.015204      21.863703     -81.982926
 1200.000    -178.340534    -178.300995    -178.486433      96.970166      96.970000      29.909204      24.811118     -91.553081
 1300.000    -178.340534    -178.296165    -178.502081      99.395653      99.395000      30.692204      27.841991    -101.372358
 1400.000    -178.340534    -178.291218    -178.518105     101.695615     101.696000      31.378204      30.946283    -111.427578
 1500.000    -178.340534    -178.286169    -178.534487     103.881352     103.881000      31.980204      34.114581    -121.707447
 1600.000    -178.340534    -178.281029    -178.551209     105.962907     105.963000      32.509204      37.339983    -132.200669
 1700.000    -178.340534    -178.275811    -178.568255     107.947961     107.948000      32.975204      40.614330    -142.897205
 1800.000    -178.340534    -178.270522    -178.585609     109.844580     109.845000      33.387204      43.933230    -153.787013
 1900.000    -178.340534    -178.265172    -178.603260     111.659790     111.660000      33.751204      47.290409    -164.863192
 2000.000    -178.340534    -178.259767    -178.621194     113.399528     113.399000      34.075204      50.682100    -176.116957
