    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -178.339844    -178.339831    -178.339856      15.687750      15.635000       7.949204       0.008158      -0.007530
  100.000    -178.339844    -178.338570    -178.346903      52.290408      52.292000       8.204204       0.799448      -4.429593
  200.000    -178.339844    -178.337145    -178.355766      58.424319      58.423000       9.870204       1.693649      -9.991214
  300.000    -178.339844    -178.335376    -178.365442      62.889052      62.890000      12.439204       2.803715     -16.063001
  400.000    -178.339844    -178.333168    -178.375785      66.856484      66.856000      15.251204       4.189257     -22.553337
  500.000    -178.339844    -178.330530    -178.386736      70.539654      70.540000      17.799204       5.844628     -29.425199
  600.000    -178.339844    -178.327516    -178.398255      73.982383      73.982000      19.960204       7.735943     -36.653487
  700.000    -178.339844    -178.324186    -178.410304      77.199866      77.200000      21.784204       9.825552     -44.214355
  800.000    -178.339844    -178.320587    -178.422849      80.213035      80.213000      23.346204      12.083960     -52.086468
  900.000    -178.339844    -178.316756    -178.435859      83.042582      83.043000      24.698204      14.487951     -60.250373
 1000.000    -178.339844    -178.312724    -178.449308      85.707826      85.707000      25.876204      17.018071     -68.689755
 1100.000    -178.339844    -178.308517    -178.463168      88.222772      88.223000      26.907204      19.658006     -77.387043
 1200.000    -178.339844    -178.304155    -178.477419      90.604077      90.604000      27.810204      22.395204     -86.329688
 1300.000    -178.339844    -178.299659    -178.492039      92.861826      92.862000      28.601204      25.216489     -95.503884
 1400.000    -178.339844    -178.295045    -178.507010      95.007255      95.007000      29.294204      28.111820    -104.898337
 1500.000    -178.339844    -178.290327    -178.522314      97.049442      97.049000      29.903204      31.072413    -114.501750
 1600.000    -178.339844    -178.285518    -178.537936      98.996762      98.997000      30.438204      34.090108    -124.304711
 1700.000    -178.339844    -178.280629    -178.553862     100.856729     100.857000      30.910204      37.158005    -134.298435
 1800.000    -178.339844    -178.275669    -178.570077     102.635536     102.635000      31.327204      40.270454    -144.473510
 1900.000    -178.339844    -178.270647    -178.586570     104.339390     104.339000      31.697204      43.421809    -154.823032
 2000.000    -178.339844    -178.265569    -178.603328     105.973575     105.974000      32.025204      46.608305    -165.338845
