    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -178.347342    -178.347330    -178.347354      15.060240      15.522000       7.949204       0.007530      -0.007530
  100.000    -178.347342    -178.346005    -178.354407      52.723390      52.729000       9.343204       0.838981      -4.433358
  200.000    -178.347342    -178.344336    -178.363426      59.895830      59.897000      11.605204       1.886295     -10.092871
  300.000    -178.347342    -178.342290    -178.373398      65.068604      65.067000      14.137204       3.170181     -16.350401
  400.000    -178.347342    -178.339817    -178.384127      69.512420      69.512000      16.895204       4.722013     -23.082955
  500.000    -178.347342    -178.336917    -178.395532      73.562997      73.564000      19.457204       6.541792     -30.239707
  600.000    -178.347342    -178.333635    -178.407558      77.312370      77.312000      21.666204       8.601280     -37.786142
  700.000    -178.347342    -178.330028    -178.420159      80.797291      80.797000      23.550204      10.864708     -45.693396
  800.000    -178.347342    -178.326143    -178.433297      84.050258      84.050000      25.167204      13.302584     -53.937622
  900.000    -178.347342    -178.322019    -178.446936      87.096296      87.097000      26.567204      15.890436     -62.496231
 1000.000    -178.347342    -178.317686    -178.461047      89.960461      89.960000      27.784204      18.609437     -71.351025
 1100.000    -178.347342    -178.313171    -178.475600      92.659838      92.659000      28.844204      21.442644     -80.483178
 1200.000    -178.347342    -178.308499    -178.490571      95.210001      95.210000      29.769204      24.374371     -89.877630
 1300.000    -178.347342    -178.303690    -178.505938      97.625110      97.625000      30.577204      27.392067     -99.520576
 1400.000    -178.347342    -178.298759    -178.521680      99.917969      99.918000      31.282204      30.486318    -109.398838
 1500.000    -178.347342    -178.293724    -178.537778     102.097550     102.097000      31.899204      33.645831    -119.500494
 1600.000    -178.347342    -178.288596    -178.554215     104.174112     104.174000      32.441204      36.863702    -129.814876
 1700.000    -178.347342    -178.283388    -178.570975     106.155128     106.155000      32.917204      40.131775    -140.331944
 1800.000    -178.347342    -178.278108    -178.588044     108.048855     108.049000      33.337204      43.445027    -151.042912
 1900.000    -178.347342    -178.272765    -178.605408     109.861478     109.861000      33.708204      46.797813    -161.938996
 2000.000    -178.347342    -178.267367    -178.623055     111.598888     111.599000      34.038204      50.185112    -173.012665
