    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -365.410020    -365.410007    -365.410037      18.825300      18.871000       7.949165       0.008158      -0.010668
  100.000    -365.410020    -365.408678    -365.417613      56.068019      56.067000       9.951165       0.842118      -4.764683
  200.000    -365.410020    -365.406647    -365.427261      64.677456      64.677000      15.544165       2.116591     -10.818900
  300.000    -365.410020    -365.403769    -365.438159      71.933563      71.933000      20.410165       3.922565     -17.657504
  400.000    -365.410020    -365.400193    -365.450144      78.361880      78.362000      24.314165       6.166541     -25.178211
  500.000    -365.410020    -365.396067    -365.463099      84.126501      84.126000      27.325165       8.755647     -33.307603
  600.000    -365.410020    -365.391523    -365.476926      89.318728      89.319000      29.601165      11.607052     -41.984184
  700.000    -365.410020    -365.386661    -365.491540      94.018030      94.018000      31.343165      14.658006     -51.154615
  800.000    -365.410020    -365.381552    -365.506869      98.297088      98.297000      32.721165      17.863955     -60.773716
  900.000    -365.410020    -365.376245    -365.522851     102.218590     102.218000      33.850165      21.194150     -70.802581
 1000.000    -365.410020    -365.370773    -365.539432     105.835209     105.835000      34.805165      24.627885     -81.207324
 1100.000    -365.410020    -365.365159    -365.556569     109.192445     109.192000      35.632165      28.150726     -91.960963
 1200.000    -365.410020    -365.359421    -365.574222     112.324813     112.325000      36.358165      31.751378    -103.038397
 1300.000    -365.410020    -365.353575    -365.592359     115.261037     115.261000      37.001165      35.419802    -114.419546
 1400.000    -365.410020    -365.347632    -365.610949     118.024322     118.024000      37.574165      39.149094    -126.084957
 1500.000    -365.410020    -365.341602    -365.629967     120.634614     120.634000      38.086165      42.932979    -138.018942
 1600.000    -365.410020    -365.335496    -365.649390     123.107265     123.107000      38.545165      46.764555    -150.207069
 1700.000    -365.410020    -365.329320    -365.669197     125.456598     125.457000      38.957165      50.640057    -162.636159
 1800.000    -365.410020    -365.323082    -365.689370     127.694102     127.694000      39.326165      54.554464    -175.294919
 1900.000    -365.410020    -365.316788    -365.709891     129.829507     129.829000      39.659165      58.504012    -188.172051
 2000.000    -365.410020    -365.310443    -365.730744     131.871540     131.871000      39.959165      62.485563    -201.257517
