    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -213.686236    -213.686223    -213.686244      13.177710      13.087000       7.949165       0.008158      -0.005020
  100.000    -213.686236    -213.684969    -213.692888      49.692517      49.695000       7.966165       0.795055      -4.174197
  200.000    -213.686236    -213.683659    -213.701305      55.365207      55.365000       8.671165       1.617093      -9.455948
  300.000    -213.686236    -213.682162    -213.710442      59.153276      59.153000      10.171165       2.556476     -15.189507
  400.000    -213.686236    -213.680415    -213.720125      62.296055      62.296000      11.732165       3.652736     -21.265686
  500.000    -213.686236    -213.678437    -213.730277      65.060237      65.061000      13.046165       4.893950     -27.636168
  600.000    -213.686236    -213.676272    -213.740846      67.534718      67.534000      14.072165       6.252510     -34.268321
  700.000    -213.686236    -213.673964    -213.751789      69.765665      69.765000      14.864165       7.700803     -41.135163
  800.000    -213.686236    -213.671544    -213.763071      71.792635      71.793000      15.486165       9.219377     -48.214731
  900.000    -213.686236    -213.669035    -213.774661      73.645968      73.647000      15.989165      10.793800     -55.487572
 1000.000    -213.686236    -213.666452    -213.786536      75.353911      75.353000      16.406165      12.414658     -62.939253
 1100.000    -213.686236    -213.663809    -213.798671      76.933867      76.934000      16.759165      14.073167     -70.554087
 1200.000    -213.686236    -213.661113    -213.811050      78.405806      78.406000      17.063165      15.764934     -78.322033
 1300.000    -213.686236    -213.658373    -213.823656      79.782104      79.782000      17.327165      17.484311     -86.232424
 1400.000    -213.686236    -213.655593    -213.836474      81.074740      81.075000      17.558165      19.228789     -94.275847
 1500.000    -213.686236    -213.652778    -213.849492      82.293335      82.293000      17.762165      20.995230    -102.444773
 1600.000    -213.686236    -213.649933    -213.862699      83.445495      83.446000      17.943165      22.780496    -110.732297
 1700.000    -213.686236    -213.647060    -213.876085      84.538516      84.538000      18.103165      24.583332    -119.132146
 1800.000    -213.686236    -213.644164    -213.889640      85.577025      85.577000      18.246165      26.400601    -127.638044
 1900.000    -213.686236    -213.641246    -213.903357      86.566986      86.567000      18.373165      28.231675    -136.245599
 2000.000    -213.686236    -213.638308    -213.917229      87.512858      87.513000      18.487165      30.075299    -144.950417
