    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -213.684314    -213.684302    -213.684323      13.177710      13.205000       7.949165       0.007530      -0.005648
  100.000    -213.684314    -213.683047    -213.690986      49.818019      49.812000       7.967165       0.795055      -4.186747
  200.000    -213.684314    -213.681736    -213.699421      55.487572      55.488000       8.690165       1.617721      -9.479794
  300.000    -213.684314    -213.680234    -213.708579      59.289236      59.290000      10.224165       2.560241     -15.226530
  400.000    -213.684314    -213.678476    -213.718285      62.451364      62.452000      11.801165       3.663403     -21.317142
  500.000    -213.684314    -213.676487    -213.728463      65.230920      65.231000      13.113165       4.911521     -27.703939
  600.000    -213.684314    -213.674312    -213.739060      67.716696      67.717000      14.137165       6.276355     -34.353662
  700.000    -213.684314    -213.671993    -213.750033      69.958401      69.958000      14.930165       7.731551     -41.239330
  800.000    -213.684314    -213.669562    -213.761347      71.995007      71.994000      15.557165       9.257028     -48.338978
  900.000    -213.684314    -213.667041    -213.772970      73.857230      73.857000      16.066165      10.838980     -55.632527
 1000.000    -213.684314    -213.664446    -213.784878      75.572284      75.572000      16.489165      12.467369     -63.104916
 1100.000    -213.684314    -213.661789    -213.797050      77.161482      77.161000      16.848165      14.134663     -70.742967
 1200.000    -213.684314    -213.659079    -213.809465      78.640599      78.641000      17.155165      15.835215     -78.533504
 1300.000    -213.684314    -213.656324    -213.822109      80.024419      80.025000      17.421165      17.564005     -86.467740
 1400.000    -213.684314    -213.653528    -213.834966      81.324400      81.324000      17.654165      19.318523     -94.535637
 1500.000    -213.684314    -213.650699    -213.848025      82.549359      82.549000      17.857165      21.093749    -102.730290
 1600.000    -213.684314    -213.647838    -213.861273      83.707873      83.708000      18.036165      22.889055    -111.043542
 1700.000    -213.684314    -213.644951    -213.874701      84.806131      84.806000      18.194165      24.700676    -119.469746
 1800.000    -213.684314    -213.642040    -213.888300      85.850340      85.850000      18.334165      26.527358    -128.003255
 1900.000    -213.684314    -213.639109    -213.902061      86.844742      86.845000      18.458165      28.366590    -136.638420
 2000.000    -213.684314    -213.636158    -213.915976      87.794297      87.794000      18.569165      30.218372    -145.370222
