    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -139.051728    -139.051715    -139.051732      10.667670      10.390000       7.949165       0.008158      -0.002510
  100.000    -139.051728    -139.050460    -139.057950      47.000499      47.004000       8.001165       0.795683      -3.904367
  200.000    -139.051728    -139.049140    -139.065943      52.720253      52.720000       8.660165       1.623996      -8.920055
  300.000    -139.051728    -139.047683    -139.074653      56.413149      56.411000       9.651165       2.538278     -14.385667
  400.000    -139.051728    -139.046057    -139.083883      59.340483      59.339000      10.756165       3.558609     -20.177584
  500.000    -139.051728    -139.044260    -139.093544      61.852406      61.852000      11.785165       4.686245     -26.239958
  600.000    -139.051728    -139.042309    -139.103581      64.081321      64.082000      12.674165       5.910517     -32.538276
  700.000    -139.051728    -139.040227    -139.113956      66.093835      66.094000      13.437165       7.216993     -39.048692
  800.000    -139.051728    -139.038031    -139.124638      67.933448      67.933000      14.102165       8.595004     -45.751754
  900.000    -139.051728    -139.035736    -139.135600      69.628510      69.628000      14.689165      10.035140     -52.630519
 1000.000    -139.051728    -139.033353    -139.146823      71.203560      71.204000      15.209165      11.530496     -59.673063
 1100.000    -139.051728    -139.030892    -139.158289      72.675356      72.675000      15.671165      13.074798     -66.868093
 1200.000    -139.051728    -139.028361    -139.169981      74.056639      74.057000      16.080165      14.663026     -74.204940
 1300.000    -139.051728    -139.025769    -139.181888      75.358641      75.358000      16.443165      16.289532     -81.676702
 1400.000    -139.051728    -139.023123    -139.193996      76.588940      76.589000      16.764165      17.949924     -89.274593
 1500.000    -139.051728    -139.020428    -139.206295      77.755601      77.755000      17.047165      19.641063     -96.992338
 1600.000    -139.051728    -139.017691    -139.218775      78.863888      78.864000      17.299165      21.358558    -104.823663
 1700.000    -139.051728    -139.014916    -139.231428      79.919674      79.919000      17.521165      23.099898    -112.763547
 1800.000    -139.051728    -139.012108    -139.244244      80.926479      80.927000      17.719165      24.861946    -120.805715
 1900.000    -139.051728    -139.009270    -139.257218      81.889394      81.889000      17.895165      26.642820    -128.947030
 2000.000    -139.051728    -139.006406    -139.270342      82.811240      82.811000      18.051165      28.440008    -137.182471
