    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000     -39.807382     -39.807369     -39.807376       4.392570       4.123000       7.949165       0.008158       0.003765
  100.000     -39.807382     -39.806114     -39.812606      40.737949      40.737000       8.007165       0.795683      -3.278112
  200.000     -39.807382     -39.804792     -39.819600      46.460840      46.460000       8.640165       1.625251      -7.666917
  300.000     -39.807382     -39.803358     -39.827310      50.100398      50.099000       9.356165       2.525100     -12.505019
  400.000     -39.807382     -39.801809     -39.835524      52.891249      52.890000      10.088165       3.497113     -17.659386
  500.000     -39.807382     -39.800144     -39.844142      55.218370      55.219000      10.810165       4.541917     -23.067268
  600.000     -39.807382     -39.798366     -39.853107      57.250875      57.252000      11.497165       5.657630     -28.692895
  700.000     -39.807382     -39.796481     -39.862379      59.073791      59.073000      12.151165       6.840487     -34.511167
  800.000     -39.807382     -39.794494     -39.871927      60.737477      60.737000      12.778165       8.087349     -40.502633
  900.000     -39.807382     -39.792410     -39.881730      62.276881      62.277000      13.376165       9.395080     -46.654113
 1000.000     -39.807382     -39.790233     -39.891770      63.715483      63.716000      13.939165      10.761169     -52.954314
 1100.000     -39.807382     -39.787969     -39.902033      65.069364      65.069000      14.463165      12.181852     -59.394449
 1200.000     -39.807382     -39.785626     -39.912505      66.348201      66.348000      14.943165      13.652108     -65.965734
 1300.000     -39.807382     -39.783209     -39.923176      67.562071      67.562000      15.380165      15.168799     -72.661893
 1400.000     -39.807382     -39.780726     -39.934036      68.716827      68.717000      15.775165      16.726907     -79.476652
 1500.000     -39.807382     -39.778183     -39.945075      69.817599      69.817000      16.129165      18.322664     -86.403734
 1600.000     -39.807382     -39.775587     -39.956285      70.868626      70.869000      16.448165      19.951680     -93.438122
 1700.000     -39.807382     -39.772943     -39.967660      71.874626      71.874000      16.732165      21.610817    -100.576048
 1800.000     -39.807382     -39.770256     -39.979191      72.838223      72.838000      16.988165      23.296936    -107.811866
 1900.000     -39.807382     -39.767530     -39.990872      73.762810      73.763000      17.216165      25.007529    -115.141810
 2000.000     -39.807382     -39.764770     -40.002699      74.651413      74.651000      17.421165      26.739456    -122.563371
