    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000     -79.095790     -79.095777     -79.095795      11.295180      11.513000       7.949204       0.008158      -0.003138
  100.000     -79.095790     -79.094382     -79.102274      49.523089      49.519000       9.710204       0.883534      -4.068775
  200.000     -79.095790     -79.092738     -79.110784      56.620227      56.619000      11.029204       1.915161      -9.408885
  300.000     -79.095790     -79.090825     -79.120207      61.458329      61.458000      13.099204       3.115587     -15.321912
  400.000     -79.095790     -79.088542     -79.130334      65.562245      65.563000      15.572204       4.548192     -21.676705
  500.000     -79.095790     -79.085867     -79.141084      69.298439      69.298000      17.954204       6.226782     -28.422438
  600.000     -79.095790     -79.082834     -79.152407      72.762922      72.763000      20.073204       8.130020     -35.527734
  700.000     -79.095790     -79.079483     -79.164263      76.000425      76.000000      21.938204      10.232806     -42.967492
  800.000     -79.095790     -79.075853     -79.176619      79.039591      79.040000      23.588204      12.510667     -50.721006
  900.000     -79.095790     -79.071975     -79.189445      81.904000      81.904000      25.054204      14.944151     -58.769449
 1000.000     -79.095790     -79.067876     -79.202715      84.612821      84.613000      26.357204      17.516314     -67.096507
 1100.000     -79.095790     -79.063582     -79.216406      87.180535      87.180000      27.512204      20.210842     -75.687746
 1200.000     -79.095790     -79.059115     -79.230494      89.618364      89.619000      28.533204      23.013929     -84.528107
 1300.000     -79.095790     -79.054495     -79.244962      91.938421      91.939000      29.434204      25.913025     -93.606922
 1400.000     -79.095790     -79.049739     -79.259791      94.149808      94.150000      30.229204      28.897463    -102.912268
 1500.000     -79.095790     -79.044865     -79.274965      96.260034      96.260000      30.929204      31.955947    -112.434104
 1600.000     -79.095790     -79.039886     -79.290466      98.275910      98.276000      31.547204      35.080319    -122.161137
 1700.000     -79.095790     -79.034814     -79.306283     100.205595     100.205000      32.093204      38.263050    -132.086462
 1800.000     -79.095790     -79.029660     -79.322400     102.054043     102.054000      32.576204      41.497236    -142.200041
 1900.000     -79.095790     -79.024434     -79.338805     103.826814     103.827000      33.005204      44.776604    -152.494343
 2000.000     -79.095790     -79.019143     -79.355488     105.529925     105.530000      33.386204      48.096759    -162.963092
