       2.407756       3.304886
    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H
    1.000     -40.473267     -40.473254     -40.473253      -0.627510      -0.920000       7.949165       0.008158
  100.000     -40.473267     -40.472000     -40.477687      35.686494      35.686000       7.949165       0.795055
  200.000     -40.473267     -40.470732     -40.483864      41.202307      41.200000       7.990165       1.590738
  300.000     -40.473267     -40.469430     -40.490708      44.507193      44.507000       8.463165       2.407756
  400.000     -40.473267     -40.468002     -40.498011      47.077369      47.078000       9.535165       3.303840
  500.000     -40.473267     -40.466377     -40.505697      49.347386      49.348000      10.875165       4.323544
  600.000     -40.473267     -40.464535     -40.513731      51.451637      51.451000      12.236165       5.479417
  700.000     -40.473267     -40.462481     -40.522090      53.436062      53.436000      13.528165       6.768323
  800.000     -40.473267     -40.460228     -40.530757      55.322066      55.322000      14.726165       8.182103
  900.000     -40.473267     -40.457793     -40.539717      57.120144      57.120000      15.822165       9.710090
 1000.000     -40.473267     -40.455191     -40.548958      58.839730      58.840000      16.814165      11.342871
 1100.000     -40.473267     -40.452439     -40.558466      60.484548      60.485000      17.705165      13.069778
 1200.000     -40.473267     -40.449553     -40.568232      62.060216      62.060000      18.499165      14.880772
 1300.000     -40.473267     -40.446548     -40.578243      63.569177      63.569000      19.205165      16.766440
 1400.000     -40.473267     -40.443436     -40.588489      65.015863      65.016000      19.830165      18.719251
 1500.000     -40.473267     -40.440231     -40.598961      66.403108      66.403000      20.383165      20.730420
 1600.000     -40.473267     -40.436943     -40.609650      67.734606      67.735000      20.872165      22.793673
 1700.000     -40.473267     -40.433582     -40.620547      69.013181      69.013000      21.305165      24.902734
 1800.000     -40.473267     -40.430155     -40.631644      70.242424      70.242000      21.689165      27.053211
 1900.000     -40.473267     -40.426671     -40.642932      71.424179      71.424000      22.030165      29.239456
 2000.000     -40.473267     -40.423136     -40.654406      72.562119      72.562000      22.334165      31.457704
