    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -189.075716    -189.075704    -189.075726      13.805220      13.807000       7.949165       0.007530      -0.006275
  100.000    -189.075716    -189.074449    -189.082484      50.420429      50.420000       8.002165       0.795055      -4.246988
  200.000    -189.075716    -189.073107    -189.091024      56.215483      56.216000       9.021165       1.637174      -9.605923
  300.000    -189.075716    -189.071554    -189.100309      60.146834      60.148000      10.467165       2.611697     -15.432353
  400.000    -189.075716    -189.069778    -189.110156      63.343997      63.344000      11.787165       3.726154     -21.611444
  500.000    -189.075716    -189.067808    -189.120475      66.098138      66.098000      12.903165       4.962349     -28.086720
  600.000    -189.075716    -189.065676    -189.131206      68.534550      68.535000      13.821165       6.300200     -34.820530
  700.000    -189.075716    -189.063412    -189.142305      70.723066      70.723000      14.572165       7.720883     -41.785263
  800.000    -189.075716    -189.061038    -189.153737      72.711937      72.711000      15.194165       9.210592     -48.958958
  900.000    -189.075716    -189.058574    -189.165471      74.532152      74.532000      15.716165      10.756776     -56.322160
 1000.000    -189.075716    -189.056033    -189.177484      76.211717      76.211000      16.161165      12.351279     -63.860438
 1100.000    -189.075716    -189.053427    -189.189755      77.770167      77.770000      16.544165      13.986570     -71.560613
 1200.000    -189.075716    -189.050763    -189.202265      79.224183      79.224000      16.877165      15.658257     -79.410763
 1300.000    -189.075716    -189.048050    -189.215000      80.586765      80.587000      17.166165      17.360692     -87.402103
 1400.000    -189.075716    -189.045294    -189.227946      81.868540      81.868000      17.420165      19.090109     -95.525847
 1500.000    -189.075716    -189.042499    -189.241089      83.078141      83.078000      17.643165      20.844000    -103.773211
 1600.000    -189.075716    -189.039672    -189.254421      84.223216      84.223000      17.840165      22.617970    -112.139175
 1700.000    -189.075716    -189.036814    -189.267930      85.310354      85.310000      18.014165      24.411394    -120.616207
 1800.000    -189.075716    -189.033931    -189.281608      86.344330      86.344000      18.169165      26.220505    -129.199289
 1900.000    -189.075716    -189.031025    -189.295447      87.330236      87.330000      18.306165      28.044049    -137.883400
 2000.000    -189.075716    -189.028097    -189.309440      88.272773      88.273000      18.429165      29.881399    -146.664147
