    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -427.520959    -427.520946    -427.520979      20.707830      20.755000       7.949165       0.008158      -0.012550
  100.000    -427.520959    -427.519384    -427.529132      61.169675      61.173000      11.608165       0.988328      -5.128639
  200.000    -427.520959    -427.517199    -427.539671      70.507024      70.506000      15.863165       2.359438     -11.741967
  300.000    -427.520959    -427.514327    -427.551500      77.754764      77.754000      20.142165       4.161646     -19.164783
  400.000    -427.520959    -427.510802    -427.564405      84.091046      84.091000      23.997165       6.373619     -27.262799
  500.000    -427.520959    -427.506714    -427.578268      89.801701      89.801000      27.190165       8.938880     -35.961971
  600.000    -427.520959    -427.502171    -427.592999      94.992464      94.993000      29.732165      11.789658     -45.205820
  700.000    -427.520959    -427.497266    -427.608520      99.732854      99.733000      31.744165      14.867594     -54.945403
  800.000    -427.520959    -427.492075    -427.624765     104.080377     104.081000      33.355165      18.124999     -65.139303
  900.000    -427.520959    -427.486651    -427.641675     108.087900     108.088000      34.667165      21.528613     -75.750497
 1000.000    -427.520959    -427.481037    -427.659199     111.798437     111.798000      35.752165      25.051454     -86.746982
 1100.000    -427.520959    -427.475266    -427.677294     115.249628     115.250000      36.661165      28.672814     -98.101776
 1200.000    -427.520959    -427.469360    -427.695919     118.473365     118.473000      37.431165      32.378888    -109.789150
 1300.000    -427.520959    -427.463341    -427.715043     121.496555     121.496000      38.089165      36.155871    -121.789651
 1400.000    -427.520959    -427.457225    -427.734633     124.340210     124.340000      38.656165      39.993722    -134.082572
 1500.000    -427.520959    -427.451025    -427.754664     127.024339     127.024000      39.146165      43.884284    -146.652225
 1600.000    -427.520959    -427.444752    -427.775111     129.564735     129.565000      39.573165      47.820655    -159.482922
 1700.000    -427.520959    -427.438415    -427.795952     131.975319     131.975000      39.946165      51.797185    -172.560857
 1800.000    -427.520959    -427.432022    -427.817168     134.268315     134.268000      40.274165      55.808857    -185.874110
 1900.000    -427.520959    -427.425581    -427.838740     136.453371     136.453000      40.564165      59.850649    -199.410755
 2000.000    -427.520959    -427.419096    -427.860653     138.540717     138.541000      40.820165      63.920051    -213.161382
