    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -327.016059    -327.016046    -327.016076      18.825300      18.462000       7.949165       0.008158      -0.010668
  100.000    -327.016059    -327.014757    -327.023577      55.346382      55.344000       8.853165       0.817018      -4.717620
  200.000    -327.016059    -327.013130    -327.032988      62.305468      62.308000      11.738165       1.837977     -10.623117
  300.000    -327.016059    -327.010996    -327.043358      67.691595      67.692000      15.031165       3.177083     -17.130395
  400.000    -327.016059    -327.008358    -327.054530      72.433479      72.434000      17.988165       4.832455     -24.140937
  500.000    -327.016059    -327.005293    -327.066420      76.715608      76.715000      20.384165       6.755773     -31.602031
  600.000    -327.016059    -327.001888    -327.078960      80.605751      80.605000      22.266165       8.892444     -39.471007
  700.000    -327.016059    -326.998218    -327.092092      84.152677      84.153000      23.744165      11.195406     -47.711468
  800.000    -327.016059    -326.994336    -327.105765      87.403515      87.403000      24.921165      13.631400     -56.291412
  900.000    -327.016059    -326.990287    -327.119936      90.395604      90.396000      25.871165      16.172188     -65.183856
 1000.000    -327.016059    -326.986100    -327.134564      93.162645      93.163000      26.648165      18.799572     -74.363073
 1100.000    -327.016059    -326.981801    -327.149618      95.733496      95.734000      27.290165      21.497238     -83.809608
 1200.000    -327.016059    -326.977408    -327.165067      98.131583      98.132000      27.826165      24.253889     -93.504010
 1300.000    -327.016059    -326.972936    -327.180887     100.377948     100.378000      28.278165      27.060114    -103.431218
 1400.000    -327.016059    -326.968399    -327.197053     102.487623     102.488000      28.661165      29.907127    -113.575545
 1500.000    -327.016059    -326.963804    -327.213545     104.476650     104.476000      28.987165      32.790535    -123.924440
 1600.000    -327.016059    -326.959162    -327.230346     106.356670     106.356000      29.268165      35.703436    -134.467235
 1700.000    -327.016059    -326.954478    -327.247438     108.138429     108.138000      29.511165      38.642693    -145.192636
 1800.000    -327.016059    -326.949758    -327.264807     109.831332     109.831000      29.722165      41.604541    -156.091857
 1900.000    -327.016059    -326.945007    -327.282439     111.443134     111.443000      29.906165      44.585841    -167.156114
 2000.000    -327.016059    -326.940228    -327.300322     112.981293     112.981000      30.067165      47.584711    -178.377875
