    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -426.994607    -426.994594    -426.994627      20.707830      20.715000       7.949165       0.008158      -0.012550
  100.000    -426.994607    -426.993278    -427.002490      57.806221      57.808000       9.547165       0.833961      -4.946661
  200.000    -426.994607    -426.991461    -427.012358      65.565382      65.565000      13.238165       1.974146     -11.138930
  300.000    -426.994607    -426.989059    -427.023302      71.626083      71.627000      16.896165       3.481425     -18.006399
  400.000    -426.994607    -426.986092    -427.035149      76.959395      76.960000      20.254165       5.343248     -25.440510
  500.000    -426.994607    -426.982634    -427.047804      81.789653      81.790000      23.038165       7.513177     -33.381649
  600.000    -426.994607    -426.978780    -427.061194      86.192682      86.193000      25.241165       9.931601     -41.784008
  700.000    -426.994607    -426.974614    -427.075256      90.219802      90.219000      26.967165      12.545807     -50.608054
  800.000    -426.994607    -426.970204    -427.089931      93.912362      93.912000      28.327165      15.313127     -59.816763
  900.000    -426.994607    -426.965601    -427.105172      97.313554      97.314000      29.411165      18.201555     -69.380643
 1000.000    -426.994607    -426.960842    -427.120934     100.459331     100.459000      30.287165      21.187875     -79.271456
 1100.000    -426.994607    -426.955956    -427.137178     103.380561     103.381000      31.002165      24.253889     -89.464728
 1200.000    -426.994607    -426.950967    -427.153873     106.104620     106.104000      31.593165      27.384536     -99.941008
 1300.000    -426.994607    -426.945892    -427.170987     108.653357     108.653000      32.086165      30.569150    -110.680214
 1400.000    -426.994607    -426.940745    -427.188494     111.046411     111.047000      32.500165      33.798944    -121.666031
 1500.000    -426.994607    -426.935537    -427.206372     113.301114     113.301000      32.851165      37.067016    -132.884655
 1600.000    -426.994607    -426.930277    -427.224599     115.431249     115.431000      33.151165      40.367718    -144.322280
 1700.000    -426.994607    -426.924973    -427.243156     117.448832     117.449000      33.409165      43.696031    -155.966983
 1800.000    -426.994607    -426.919631    -427.262027     119.364952     119.365000      33.631165      47.048190    -167.808724
 1900.000    -426.994607    -426.914255    -427.281195     121.188694     121.189000      33.825165      50.421684    -179.836836
 2000.000    -426.994607    -426.908851    -427.300648     122.928268     122.928000      33.994165      53.812748    -192.043788
