    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -427.520959    -427.520946    -427.520979      20.707830      20.755000       7.949204       0.008158      -0.012550
  100.000    -427.520959    -427.519383    -427.529132      61.175950      61.174000      11.608204       0.988956      -5.128639
  200.000    -427.520959    -427.517199    -427.539671      70.507024      70.507000      15.863204       2.359438     -11.741967
  300.000    -427.520959    -427.514327    -427.551500      77.754764      77.755000      20.142204       4.161646     -19.164783
  400.000    -427.520959    -427.510802    -427.564406      84.092615      84.092000      23.997204       6.373619     -27.263427
  500.000    -427.520959    -427.506714    -427.578269      89.802956      89.802000      27.190204       8.938880     -35.962598
  600.000    -427.520959    -427.502171    -427.593000      94.993510      94.994000      29.732204      11.789658     -45.206448
  700.000    -427.520959    -427.497266    -427.608521      99.733750      99.734000      31.744204      14.867594     -54.946031
  800.000    -427.520959    -427.492074    -427.624766     104.081946     104.082000      33.355204      18.125626     -65.139931
  900.000    -427.520959    -427.486651    -427.641676     108.088598     108.089000      34.667204      21.528613     -75.751125
 1000.000    -427.520959    -427.481037    -427.659201     111.799692     111.799000      35.752204      25.051454     -86.748237
 1100.000    -427.520959    -427.475265    -427.677295     115.250768     115.251000      36.661204      28.673442     -98.102403
 1200.000    -427.520959    -427.469360    -427.695921     118.474411     118.475000      37.431204      32.378888    -109.790405
 1300.000    -427.520959    -427.463341    -427.715045     121.497521     121.497000      38.089204      36.155871    -121.790906
 1400.000    -427.520959    -427.457225    -427.734636     124.341555     124.341000      38.656204      39.993722    -134.084454
 1500.000    -427.520959    -427.451025    -427.754666     127.025176     127.025000      39.146204      43.884284    -146.653480
 1600.000    -427.520959    -427.444752    -427.775113     129.565519     129.566000      39.573204      47.820655    -159.484177
 1700.000    -427.520959    -427.438415    -427.795955     131.976427     131.976000      39.946204      51.797185    -172.562740
 1800.000    -427.520959    -427.432022    -427.817171     134.269361     134.269000      40.274204      55.808857    -185.875992
 1900.000    -427.520959    -427.425581    -427.838743     136.454361     136.455000      40.563204      59.850649    -199.412638
 2000.000    -427.520959    -427.419096    -427.860656     138.541658     138.542000      40.820204      63.920051    -213.163264
