    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -855.066547    -855.066534    -855.066579      28.237950      28.009000       7.949204       0.008158      -0.020080
  100.000    -855.066547    -855.063747    -855.077133      83.998489      83.996000      24.458204       1.757028      -6.642821
  200.000    -855.066547    -855.059118    -855.092194     103.777604     103.776000      33.355204       4.661772     -16.093749
  300.000    -855.066547    -855.053131    -855.109972     118.894320     118.894000      41.773204       8.418674     -27.249622
  400.000    -855.066547    -855.045831    -855.129985     132.018691     132.019000      49.696204      12.999497     -39.807979
  500.000    -855.066547    -855.037356    -855.151982     143.857923     143.858000      56.446204      18.317644     -53.611317
  600.000    -855.066547    -855.027909    -855.175780     154.650885     154.651000      61.912204      24.245731     -68.544800
  700.000    -855.066547    -855.017681    -855.201224     164.535811     164.536000      66.288204      30.663904     -84.511164
  800.000    -855.066547    -855.006826    -855.228178     173.625742     173.626000      69.814204      37.475525    -101.425069
  900.000    -855.066547    -854.995464    -855.256525     182.020431     182.020000      72.691204      44.605293    -119.213095
 1000.000    -855.066547    -854.983685    -855.286160     189.806087     189.806000      75.064204      51.996734    -137.809354
 1100.000    -855.066547    -854.971560    -855.316991     197.055824     197.056000      77.043204      59.605292    -157.156114
 1200.000    -855.066547    -854.959147    -855.348940     203.832505     203.833000      78.707204      67.394574    -177.204431
 1300.000    -855.066547    -854.946489    -855.381935     210.189784     210.190000      80.116204      75.337596    -197.909124
 1400.000    -855.066547    -854.933623    -855.415912     216.172265     216.172000      81.318204      83.411139    -219.230031
 1500.000    -855.066547    -854.920580    -855.450815     221.818510     221.819000      82.350204      91.595752    -241.132013
 1600.000    -855.066547    -854.907384    -855.486594     227.162542     227.162000      83.239204      99.876374    -263.583693
 1700.000    -855.066547    -854.894056    -855.523202     232.232592     232.232000      84.011204     108.239827    -286.555579
 1800.000    -855.066547    -854.880613    -855.560598     237.054104     237.054000      84.684204     116.675444    -310.021943
 1900.000    -855.066547    -854.867070    -855.598744     241.648817     241.649000      85.273204     125.173812    -333.958939
 2000.000    -855.066547    -854.853439    -855.637605     246.036003     246.036000      85.791204     133.727401    -358.344606
