    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -427.316754    -427.316741    -427.316777      22.590360      22.291000       7.949204       0.008158      -0.014433
  100.000    -427.316754    -427.314410    -427.325948      72.402104      72.399000      18.977204       1.470883      -5.769327
  200.000    -427.316754    -427.311067    -427.338729      86.790908      86.793000      22.739204       3.568649     -13.789532
  300.000    -427.316754    -427.307199    -427.353378      96.592614      96.593000      25.735204       5.995858     -22.981926
  400.000    -427.316754    -427.302886    -427.369410     104.361188     104.361000      28.322204       8.702309     -33.042167
  500.000    -427.316754    -427.298195    -427.386576     110.919923     110.920000      30.466204      11.645958     -43.814003
  600.000    -427.316754    -427.293197    -427.404717     116.633192     116.634000      32.206204      14.782253     -55.197662
  700.000    -427.316754    -427.287948    -427.423716     121.708254     121.709000      33.627204      18.076053     -67.119725
  800.000    -427.316754    -427.282492    -427.443482     126.278544     126.278000      34.807204      21.499748     -79.523087
  900.000    -427.316754    -427.276863    -427.463942     130.437715     130.437000      35.804204      25.032001     -92.361942
 1000.000    -427.316754    -427.271088    -427.485037     134.255137     134.255000      36.656204      28.655872    -105.599265
 1100.000    -427.316754    -427.265187    -427.506716     137.783512     137.784000      37.391204      32.358808    -119.203055
 1200.000    -427.316754    -427.259176    -427.528938     141.065294     141.065000      38.030204      36.130771    -133.147582
 1300.000    -427.316754    -427.253070    -427.551665     144.131807     144.132000      38.587204      39.962347    -147.409002
 1400.000    -427.316754    -427.246881    -427.574865     147.009457     147.009000      39.074204      43.846006    -161.967234
 1500.000    -427.316754    -427.240619    -427.598511     149.720539     149.720000      39.502204      47.775474    -176.805335
 1600.000    -427.316754    -427.234294    -427.622576     152.281774     152.282000      39.879204      51.744475    -191.906363
 1700.000    -427.316754    -427.227911    -427.647039     154.710007     154.710000      40.212204      55.749871    -207.257140
 1800.000    -427.316754    -427.221479    -427.671879     157.016947     157.017000      40.507204      59.786015    -222.844489
 1900.000    -427.316754    -427.215003    -427.697078     159.214149     159.214000      40.769204      63.849770    -238.657113
 2000.000    -427.316754    -427.208487    -427.722619     161.311486     161.311000      41.002204      67.938625    -254.684346
