    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1339.397284   -1339.397272   -1339.397320      30.120480      30.386000       7.949165       0.007530      -0.022590
  100.000   -1339.397284   -1339.394366   -1339.408306      87.474894      87.473000      27.253165       1.831074      -6.916415
  200.000   -1339.397284   -1339.388737   -1339.424222     111.335962     111.338000      42.805165       5.363328     -16.903864
  300.000   -1339.397284   -1339.380901   -1339.443581     131.107756     131.107000      55.058165      10.280496     -29.051830
  400.000   -1339.397284   -1339.371328   -1339.465874     148.321401     148.323000      64.678165      16.287650     -43.040911
  500.000   -1339.397284   -1339.360410   -1339.490750     163.579307     163.579000      71.984165      23.138804     -58.650850
  600.000   -1339.397284   -1339.348485   -1339.517924     177.207778     177.208000      77.407165      30.621860     -75.702806
  700.000   -1339.397284   -1339.335814   -1339.547157     189.456923     189.457000      81.423165      38.573040     -94.046806
  800.000   -1339.397284   -1339.322588   -1339.578246     200.534939     200.535000      84.423165      46.872487    -113.555465
  900.000   -1339.397284   -1339.308945   -1339.611019     210.616062     210.616000      86.696165      55.433606    -134.120850
 1000.000   -1339.397284   -1339.294983   -1339.645328     219.844991     219.845000      88.447165      64.194901    -155.650090
 1100.000   -1339.397284   -1339.280775   -1339.681049     228.341762     228.341000      89.815165      73.110563    -178.065375
 1200.000   -1339.397284   -1339.266372   -1339.718072     236.205222     236.205000      90.902165      82.148589    -201.297678
 1300.000   -1339.397284   -1339.251814   -1339.756303     243.516840     243.517000      91.776165      91.283880    -225.288013
 1400.000   -1339.397284   -1339.237130   -1339.795660     250.345115     250.345000      92.489165     100.498237    -249.984924
 1500.000   -1339.397284   -1339.222342   -1339.836070     256.746972     256.747000      93.076165     109.777854    -275.342603
 1600.000   -1339.397284   -1339.207470   -1339.877470     262.769812     262.770000      93.566165     119.110183    -301.321517
 1700.000   -1339.397284   -1339.192525   -1339.919802     268.455053     268.455000      93.977165     128.488320    -327.885270
 1800.000   -1339.397284   -1339.177520   -1339.963016     273.836997     273.837000      94.327165     137.904108    -355.002487
 1900.000   -1339.397284   -1339.162464   -1340.007065     278.945039     278.945000      94.626165     147.351898    -382.643675
 2000.000   -1339.397284   -1339.147363   -1340.051908     283.805516     283.805000      94.883165     156.827927    -410.783106
