    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1415.134725   -1415.134713   -1415.134764      32.003010      32.149000       7.949165       0.007530      -0.024473
  100.000   -1415.134725   -1415.131773   -1415.145867      88.441259      88.445000      28.878165       1.852410      -6.991716
  200.000   -1415.134725   -1415.125636   -1415.162098     114.401348     114.400000      47.279165       5.703438     -17.176831
  300.000   -1415.134725   -1415.116938   -1415.182119     136.339098     136.338000      61.298165      11.161520     -29.740209
  400.000   -1415.134725   -1415.106264   -1415.205407     155.533060     155.532000      72.182165      17.859562     -44.353662
  500.000   -1415.134725   -1415.094077   -1415.231576     172.563995     172.563000      80.351165      25.507026     -60.774971
  600.000   -1415.134725   -1415.080770   -1415.260309     187.770863     187.771000      86.340165      33.857302     -78.805216
  700.000   -1415.134725   -1415.066644   -1415.291340     201.427124     201.427000      90.732165      42.721508     -98.277479
  800.000   -1415.134725   -1415.051912   -1415.324438     213.765988     213.766000      94.000165      51.965986    -119.046805
  900.000   -1415.134725   -1415.036726   -1415.359412     224.987435     224.988000      96.480165      61.495352    -140.993339
 1000.000   -1415.134725   -1415.021191   -1415.396096     235.256637     235.256000      98.404165      71.243720    -164.012916
 1100.000   -1415.134725   -1415.005384   -1415.434350     244.709504     244.709000      99.924165      81.162771    -188.017684
 1200.000   -1415.134725   -1414.989359   -1415.474052     253.458087     253.458000     101.148165      91.218619    -212.931086
 1300.000   -1415.134725   -1414.973157   -1415.515099     261.595403     261.595000     102.148165     101.385536    -238.688489
 1400.000   -1415.134725   -1414.956811   -1415.557400     269.196860     269.196000     102.976165     111.642814    -265.232789
 1500.000   -1415.134725   -1414.940344   -1415.600873     276.325702     276.325000     103.670165     121.976021    -292.512531
 1600.000   -1415.134725   -1414.923775   -1415.645448     283.035640     283.035000     104.257165     132.373234    -320.483790
 1700.000   -1415.134725   -1414.907120   -1415.691062     289.371438     289.371000     104.759165     142.824414    -349.107031
 1800.000   -1415.134725   -1414.890390   -1415.737658     295.371746     295.372000     105.190165     153.322656    -378.346487
 1900.000   -1415.134725   -1414.873596   -1415.785187     301.069720     301.069000     105.564165     163.861059    -408.171410
 2000.000   -1415.134725   -1414.856747   -1415.833601     306.492827     306.492000     105.889165     174.433975    -438.551679
