    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -576.022374    -576.022362    -576.022397      21.962850      22.259000       7.949165       0.007530      -0.014433
  100.000    -576.022374    -576.020833    -576.030648      61.590107      61.586000      12.100165       0.966993      -5.192018
  200.000    -576.022374    -576.018463    -576.041308      71.677330      71.678000      17.585165       2.454192     -11.881274
  300.000    -576.022374    -576.015265    -576.053391      79.748154      79.748000      22.437165       4.460969     -19.463478
  400.000    -576.022374    -576.011349    -576.066671      86.787771      86.788000      26.576165       6.918298     -27.796810
  500.000    -576.022374    -576.006839    -576.081013      93.089853      93.090000      29.892165       9.748368     -36.796559
  600.000    -576.022374    -576.001863    -576.096308      98.775303      98.776000      32.443165      12.870858     -46.394324
  700.000    -576.022374    -575.996530    -576.112467     103.930896     103.930000      34.392165      16.217368     -56.534258
  800.000    -576.022374    -575.990925    -576.129409     108.625119     108.625000      35.897165      19.734562     -67.165533
  900.000    -576.022374    -575.985106    -576.147067     112.924608     112.924000      37.078165      23.386043     -78.246104
 1000.000    -576.022374    -575.979120    -576.165382     116.881268     116.881000      38.019165      27.142318     -89.738950
 1100.000    -576.022374    -575.972998    -576.184303     120.541819     120.542000      38.781165      30.983934    -101.612067
 1200.000    -576.022374    -575.966767    -576.203787     123.943684     123.944000      39.405165      34.893949    -113.838472
 1300.000    -576.022374    -575.960445    -576.223795     127.119045     127.119000      39.922165      38.861067    -126.393692
 1400.000    -576.022374    -575.954047    -576.244292     130.094029     130.094000      40.355165      42.875876    -139.255764
 1500.000    -576.022374    -575.947586    -576.265249     132.891139     132.891000      40.720165      46.930218    -152.406491
 1600.000    -576.022374    -575.941072    -576.286638     135.528825     135.529000      41.031165      51.017818    -165.828303
 1700.000    -576.022374    -575.934511    -576.308437     138.024885     138.025000      41.298165      55.134911    -179.507393
 1800.000    -576.022374    -575.927911    -576.330623     140.392115     140.392000      41.528165      59.276477    -193.429330
 1900.000    -576.022374    -575.921277    -576.353176     142.642601     142.643000      41.727165      63.439378    -207.581563
 2000.000    -576.022374    -575.914613    -576.376080     144.787579     144.787000      41.902165      67.621105    -221.954052
