    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -526.783498    -526.783485    -526.783520      21.962850      21.987000       7.949165       0.008158      -0.013805
  100.000    -526.783498    -526.781912    -526.791861      62.430970      62.430000      11.979165       0.995231      -5.247866
  200.000    -526.783498    -526.779554    -526.802648      72.458580      72.458000      17.681165       2.474899     -12.016816
  300.000    -526.783498    -526.776312    -526.814862      80.635035      80.636000      22.829165       4.509287     -19.681224
  400.000    -526.783498    -526.772333    -526.828294      87.790218      87.789000      26.931165       7.006149     -28.109938
  500.000    -526.783498    -526.767779    -526.842801      94.154110      94.154000      30.087165       9.863830     -37.213226
  600.000    -526.783498    -526.762785    -526.858268      99.860896      99.861000      32.481165      12.997615     -46.918923
  700.000    -526.783498    -526.757457    -526.874599     105.011109     105.011000      34.304165      16.340988     -57.166789
  800.000    -526.783498    -526.751873    -526.891712     109.687964     109.688000      35.713165      19.845004     -67.905367
  900.000    -526.783498    -526.746090    -526.909537     113.960697     113.961000      36.824165      23.473894     -79.090733
 1000.000    -526.783498    -526.740148    -526.928015     117.888421     117.889000      37.717165      27.202559     -90.685863
 1100.000    -526.783498    -526.734077    -526.947095     121.519023     121.519000      38.447165      31.012172    -102.658753
 1200.000    -526.783498    -526.727900    -526.966732     124.891224     124.891000      39.054165      34.888301    -114.981167
 1300.000    -526.783498    -526.721635    -526.986888     128.037623     128.038000      39.564165      38.819651    -127.629259
 1400.000    -526.783498    -526.715294    -527.007530     130.986437     130.986000      39.998165      42.798692    -140.582320
 1500.000    -526.783498    -526.708890    -527.028627     133.758777     133.759000      40.369165      46.817266    -153.820899
 1600.000    -526.783498    -526.702431    -527.050153     136.374395     136.374000      40.689165      50.870353    -167.328679
 1700.000    -526.783498    -526.695924    -527.072085     138.849876     138.850000      40.968165      54.953561    -181.091228
 1800.000    -526.783498    -526.689375    -527.094401     141.198814     141.199000      41.211165      59.063124    -195.094742
 1900.000    -526.783498    -526.682790    -527.117082     143.432933     143.433000      41.425165      63.195277    -209.327296
 2000.000    -526.783498    -526.676174    -527.140110     145.562240     145.562000      41.613165      67.346883    -223.777596
