    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2368.878652   -2368.878640   -2368.878695      34.513050      34.340000       7.949165       0.007530      -0.026983
  100.000   -2368.878652   -2368.874754   -2368.890872     101.142062     101.140000      41.434165       2.446034      -7.668172
  200.000   -2368.878652   -2368.865672   -2368.910124     139.470373     139.469000      70.740165       8.145080     -19.748995
  300.000   -2368.878652   -2368.852668   -2368.935028     172.272412     172.271000      91.442165      16.305220     -35.376504
  400.000   -2368.878652   -2368.836786   -2368.964806     200.834576     200.834000     107.174165      26.271334     -54.062497
  500.000   -2368.878652   -2368.818716   -2368.998863     226.088088     226.087000     119.024165      37.610439     -75.433605
  600.000   -2368.878652   -2368.799015   -2369.036719     248.602728     248.603000     127.788165      49.973014     -99.188623
  700.000   -2368.878652   -2368.778108   -2369.077975     268.813630     268.813000     134.279165      63.092365    -125.077176
  800.000   -2368.878652   -2368.756303   -2369.122292     287.077197     287.077000     139.156165      76.775221    -152.886536
  900.000   -2368.878652   -2368.733816   -2369.169385     303.693226     303.693000     142.895165      90.886038    -182.437865
 1000.000   -2368.878652   -2368.710802   -2369.219011     318.906230     318.906000     145.820165     105.327553    -213.578676
 1100.000   -2368.878652   -2368.687372   -2369.270963     332.917444     332.917000     148.153165     120.030113    -246.179076
 1200.000   -2368.878652   -2368.663606   -2369.325063     345.892402     345.892000     150.044165     134.943515    -280.127367
 1300.000   -2368.878652   -2368.639567   -2369.381158     357.965976     357.965000     151.599165     150.028228    -315.327540
 1400.000   -2368.878652   -2368.615302   -2369.439112     369.249295     369.249000     152.894165     165.254758    -351.694255
 1500.000   -2368.878652   -2368.590848   -2369.498808     379.835986     379.836000     153.983165     180.599888    -389.154092
 1600.000   -2368.878652   -2368.566233   -2369.560141     389.804506     389.804000     154.908165     196.046047    -427.641162
 1700.000   -2368.878652   -2368.541482   -2369.623017     399.220016     399.220000     155.701165     211.577547    -467.096481
 1800.000   -2368.878652   -2368.516614   -2369.687354     408.139476     408.139000     156.384165     227.182465    -507.468592
 1900.000   -2368.878652   -2368.491644   -2369.753075     416.610825     416.610000     156.978165     242.851390    -548.709177
 2000.000   -2368.878652   -2368.466586   -2369.820114     424.676178     424.676000     157.496165     258.575536    -590.776820
