    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2131.093289   -2131.093276   -2131.093329      33.258030      33.195000       7.949165       0.008158      -0.025100
  100.000   -2131.093289   -2131.089782   -2131.104927      95.036389      95.033000      36.909165       2.200678      -7.302961
  200.000   -2131.093289   -2131.081710   -2131.122859     129.107045     129.108000      62.827165       7.265938     -18.555471
  300.000   -2131.093289   -2131.070164   -2131.145812     158.232922     158.234000      81.179165      14.511169     -32.958708
  400.000   -2131.093289   -2131.056066   -2131.173092     183.587463     183.588000      95.124165      23.357805     -50.077181
  500.000   -2131.093289   -2131.040028   -2131.204170     206.001493     206.001000     105.630165      33.421810     -69.578936
  600.000   -2131.093289   -2131.022544   -2131.238620     225.983085     225.983000     113.405165      44.393195     -91.196656
  700.000   -2131.093289   -2131.003990   -2131.276087     243.919412     243.919000     119.172165      56.036015    -114.707573
  800.000   -2131.093289   -2130.984637   -2131.316270     260.128780     260.129000     123.513165      68.180217    -139.922807
  900.000   -2131.093289   -2130.964677   -2131.358917     274.877269     274.877000     126.849165      80.705316    -166.684226
 1000.000   -2131.093289   -2130.944246   -2131.403813     288.382888     288.383000     129.467165      93.525973    -194.856915
 1100.000   -2131.093289   -2130.923441   -2131.450775     300.824871     300.824000     131.561165     106.581318    -224.326040
 1200.000   -2131.093289   -2130.902335   -2131.499643     312.347286     312.347000     133.263165     119.825545    -254.991199
 1300.000   -2131.093289   -2130.880983   -2131.550284     323.071593     323.071000     134.667165     133.224138    -286.768932
 1400.000   -2131.093289   -2130.859426   -2131.602576     333.095755     333.095000     135.839165     146.751371    -319.582685
 1500.000   -2131.093289   -2130.837698   -2131.656415     342.502070     342.502000     136.827165     160.385908    -353.367196
 1600.000   -2131.093289   -2130.815824   -2131.711709     351.360498     351.360000     137.669165     174.112062    -388.064734
 1700.000   -2131.093289   -2130.793826   -2131.768375     359.728966     359.728000     138.391165     187.916027    -423.623216
 1800.000   -2131.093289   -2130.771721   -2131.826338     367.657063     367.657000     139.015165     201.787136    -459.995578
 1900.000   -2131.093289   -2130.749524   -2131.885533     375.187899     375.188000     139.557165     215.715975    -497.141032
 2000.000   -2131.093289   -2130.727245   -2131.945899     382.358786     382.358000     140.032165     229.696270    -535.021301
