    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1893.307929   -1893.307916   -1893.307967      32.003010      31.905000       7.949165       0.008158      -0.023845
  100.000   -1893.307929   -1893.304810   -1893.318990      88.980918      88.979000      32.359165       1.957204      -6.940888
  200.000   -1893.307929   -1893.297751   -1893.335609     118.781368     118.780000      54.890165       6.386797     -17.369477
  300.000   -1893.307929   -1893.287665   -1893.356615     144.222715     144.222000      70.904165      12.715863     -30.550952
  400.000   -1893.307929   -1893.275353   -1893.381401     166.365451     166.365000      83.067165      20.441766     -46.104415
  500.000   -1893.307929   -1893.261350   -1893.409503     185.934978     185.935000      92.231165      29.228788     -63.738701
  600.000   -1893.307929   -1893.246084   -1893.440550     203.382266     203.382000      99.019165      38.808356     -83.221004
  700.000   -1893.307929   -1893.229883   -1893.474230     219.043123     219.043000     104.061165      48.974645    -104.355541
  800.000   -1893.307929   -1893.212983   -1893.510283     233.198404     233.199000     107.867165      59.579564    -126.979159
  900.000   -1893.307929   -1893.195549   -1893.548488     246.080835     246.080000     110.801165      70.519574    -150.953178
 1000.000   -1893.307929   -1893.177701   -1893.588656     257.878372     257.878000     113.112165      81.719372    -176.159000
 1100.000   -1893.307929   -1893.159523   -1893.630630     268.749412     268.749000     114.966165      93.126249    -202.498105
 1200.000   -1893.307929   -1893.141077   -1893.674270     278.819950     278.820000     116.480165     104.701299    -229.882641
 1300.000   -1893.307929   -1893.122412   -1893.719458     288.194104     288.194000     117.733165     116.413773    -258.238563
 1400.000   -1893.307929   -1893.103564   -1893.766091     296.958798     296.959000     118.782165     128.241081    -287.501237
 1500.000   -1893.307929   -1893.084562   -1893.814076     305.184887     305.185000     119.670165     140.165026    -317.612304
 1600.000   -1893.307929   -1893.065429   -1893.863334     312.933354     312.933000     120.428165     152.171175    -348.522192
 1700.000   -1893.307929   -1893.046185   -1893.913792     320.254158     320.254000     121.080165     164.246977    -380.185091
 1800.000   -1893.307929   -1893.026843   -1893.965385     327.191384     327.191000     121.644165     176.384276    -412.560215
 1900.000   -1893.307929   -1893.007418   -1894.018056     333.781817     333.781000     122.136165     188.573658    -445.611794
 2000.000   -1893.307929   -1892.987919   -1894.071751     340.057709     340.057000     122.566165     200.809475    -479.305943
