    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1553.109550   -1553.109538   -1553.109589      32.003010      31.857000       7.949165       0.007530      -0.024473
  100.000   -1553.109550   -1553.105846   -1553.121769      99.918417      99.919000      34.818165       2.324297      -7.667545
  200.000   -1553.109550   -1553.098711   -1553.140203     130.183225     130.184000      54.088165       6.801581     -19.235064
  300.000   -1553.109550   -1553.088831   -1553.162988     155.114197     155.115000      69.261165      13.001380     -33.532879
  400.000   -1553.109550   -1553.076824   -1553.189466     176.709954     176.709000      80.880165      20.535892     -50.148089
  500.000   -1553.109550   -1553.063209   -1553.219173     195.737939     195.738000      89.561165      29.079441     -68.789529
  600.000   -1553.109550   -1553.048401   -1553.251740     212.662093     212.662000      95.957165      38.371609     -89.225647
  700.000   -1553.109550   -1553.032713   -1553.286859     227.827366     227.827000     100.688165      48.215986    -111.263171
  800.000   -1553.109550   -1553.016372   -1553.324274     241.514480     241.515000     104.239165      58.470127    -134.741457
  900.000   -1553.109550   -1552.999535   -1553.363769     253.956086     253.956000     106.955165      69.035513    -159.524965
 1000.000   -1553.109550   -1552.982315   -1553.405159     265.338838     265.339000     109.073165      79.841235    -185.497604
 1100.000   -1553.109550   -1552.964794   -1553.448290     275.816886     275.817000     110.756165      90.835838    -212.562737
 1200.000   -1553.109550   -1552.947031   -1553.493026     285.514435     285.514000     112.115165     101.982298    -240.635025
 1300.000   -1553.109550   -1552.929073   -1553.539253     294.533886     294.534000     113.229165     113.251122    -269.642930
 1400.000   -1553.109550   -1552.910953   -1553.586869     302.960035     302.960000     114.153165     124.621603    -299.522446
 1500.000   -1553.109550   -1552.892698   -1553.635785     310.863016     310.862000     114.927165     136.076799    -330.217725
 1600.000   -1553.109550   -1552.874330   -1553.685922     318.301310     318.301000     115.584165     147.602902    -361.679194
 1700.000   -1553.109550   -1552.855864   -1553.737212     325.326284     325.326000     116.144165     159.190502    -393.864182
 1800.000   -1553.109550   -1552.837316   -1553.789590     331.978588     331.978000     116.627165     170.829557    -426.731900
 1900.000   -1553.109550   -1552.818696   -1553.843002     338.295925     338.296000     117.045165     182.513794    -460.248465
 2000.000   -1553.109550   -1552.800014   -1553.897396     344.309089     344.309000     117.410165     194.236935    -494.381243
