    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1339.397284   -1339.397271   -1339.397320      30.747990      30.386000       7.949165       0.008158      -0.022590
  100.000   -1339.397284   -1339.394366   -1339.408304      87.462344      87.460000      27.252165       1.831074      -6.915160
  200.000   -1339.397284   -1339.388737   -1339.424218     111.323412     111.324000      42.805165       5.363328     -16.901354
  300.000   -1339.397284   -1339.380901   -1339.443574     131.093114     131.093000      55.058165      10.280496     -29.047438
  400.000   -1339.397284   -1339.371328   -1339.465866     148.308851     148.309000      64.678165      16.287650     -43.035891
  500.000   -1339.397284   -1339.360410   -1339.490740     163.566757     163.566000      71.984165      23.138804     -58.644575
  600.000   -1339.397284   -1339.348485   -1339.517912     177.195228     177.195000      77.407165      30.621860     -75.695276
  700.000   -1339.397284   -1339.335814   -1339.547142     189.443476     189.444000      81.423165      38.573040     -94.037394
  800.000   -1339.397284   -1339.322588   -1339.578229     200.521605     200.522000      84.423165      46.872487    -113.544797
  900.000   -1339.397284   -1339.308945   -1339.611000     210.602815     210.603000      86.696165      55.433606    -134.108927
 1000.000   -1339.397284   -1339.294983   -1339.645307     219.831813     219.831000      88.447165      64.194901    -155.636913
 1100.000   -1339.397284   -1339.280775   -1339.681026     228.328641     228.328000      89.815165      73.110563    -178.050942
 1200.000   -1339.397284   -1339.266372   -1339.718046     236.191626     236.191000      90.902165      82.148589    -201.281363
 1300.000   -1339.397284   -1339.251814   -1339.756275     243.503325     243.503000      91.776165      91.283880    -225.270442
 1400.000   -1339.397284   -1339.237130   -1339.795630     250.331668     250.332000      92.489165     100.498237    -249.966098
 1500.000   -1339.397284   -1339.222342   -1339.836038     256.733585     256.733000      93.076165     109.777854    -275.322523
 1600.000   -1339.397284   -1339.207470   -1339.877436     262.756478     262.756000      93.566165     119.110183    -301.300182
 1700.000   -1339.397284   -1339.192525   -1339.919766     268.441765     268.442000      93.977165     128.488320    -327.862680
 1800.000   -1339.397284   -1339.177520   -1339.962978     273.823750     273.823000      94.327165     137.904108    -354.978642
 1900.000   -1339.397284   -1339.162464   -1340.007025     278.931828     278.932000      94.626165     147.351898    -382.618575
 2000.000   -1339.397284   -1339.147363   -1340.051866     283.792339     283.792000      94.883165     156.827927    -410.756751
